id,upload_date,date_interpolated,views,duration_s,likes,comments,frame,topic,era_residual_x,title
jRzysFhyZ8Y,20200301,0,760812,964,21559,1600,L,C,1.122,The Economy of South Korea
VzcNPKTrC90,20200305,0,288469,1165,9154,808,L,K,0.426,How To Make Space Travel Economically Viable
LDxhlyg0YFs,20200308,0,553786,1092,15206,1500,L,C,0.817,The Economy of Mexico
QP-eJRMrnBg,20200312,0,294108,819,9427,663,L,C,0.434,The Economy of the United Arab Emirates
p-XV2XRsu7E,20200315,0,839618,939,20270,1600,L,C,1.238,The Economy of Italy
46XGS6S9qfM,20200319,0,373704,897,12280,998,L,K,0.551,How To Fix an Economic Crisis
vvZHjIaau4Y,20200322,0,247741,871,7693,443,L,K,0.365,The Economics of Saudi Aramco: The Most Valuable Company in History?
jQ_Z-wZK5ps,20200326,0,1460669,1171,36393,3300,Q,E,2.155,Will This be the Next Great Depression?
uzvcztUmMwA,20200329,0,630237,924,18434,2900,L,C,0.93,The Economy of Cuba
N8HOWh8HPTo,20200402,0,931623,1114,26746,3500,V,K,1.374,Modern Monetary Theory: How it Could Answer All Of Our Economic Problems
5iqjUt1I0VU,20200405,0,416994,1026,14274,1600,Q,K,0.615,Can an Economy Grow Forever?
GNDcfzNDtjg,20200409,0,621547,838,20299,1800,Q,K,0.917,Does War Make Us Richer? | Economics Explained
FFROyTMgr-s,20200412,0,827795,994,19284,2800,Q,E,1.221,Why is the Stock Market Still Rising?
b07eafPe7pY,20200416,0,1802951,998,41666,6800,V,C,2.659,Why China Will be the Big Winner of the 2020 Crisis
hlqAM76qq6U,20200419,0,639319,1006,20599,1600,Q,K,0.943,Do We Actually Need Debt?
YGDQzORZ4NM,20200423,0,665336,1147,20127,1100,L,E,0.981,Negative Oil Prices: Explained
XMYruhJb8e0,20200426,0,1435975,1311,33141,2000,L,H,2.118,The Economy of Ancient Rome
mRyi4xNi__k,20200430,0,393185,1094,12345,1000,Q,C,0.58,Can a New Leader Save North Korea's Economy?
f4o9aPFI3I0,20200503,0,1289653,1093,30464,1800,L,K,1.902,The Economics of Real Estate
ZmEvAk5LRko,20200507,0,1744352,880,44306,1800,X,K,2.573,Money Laundering: A How To Guide For The Modern Global Billionaire
I2tuh_Pfknk,20200510,0,286281,973,9813,1000,L,E,0.422,The Economics of Stimulus Packages
9ZgNwysabko,20200514,0,653525,1057,19452,3100,L,C,0.964,The Economics of China’s Enormous Belt & Road Initiative
X2c_7dU8shQ,20200517,0,306555,936,11370,923,Q,K,0.452,Do We Actually Need Recessions?
Yygwaln14sU,20200521,0,727721,957,19886,888,X,K,1.073,Hedge Funds Explained: Why Hedge Funds Aren’t Really Hedged
ld2wZCC2rVs,20200524,0,311635,796,12518,922,L,C,0.46,The Mighty Economy of Liechtenstein
WFQjUYGHMc4,20200528,0,644957,1017,22344,2800,L,C,0.951,The Wild Economy of Brazil
V5sOuET8UWA,20200531,0,508578,1058,17915,935,X,K,0.75,The Economics Of The Art Market: Why This Painting Isn't Worth $450 Million
xfmUrw0gDiU,20200604,0,1521306,1152,42801,8100,Q,K,2.244,Do We Actually Need Taxes?
4GmwZVknnCg,20200607,0,496229,1102,15316,1700,L,C,0.732,The Economy Of France: How The French Set Global Economic Trends
evzbiHSrQ5g,20200611,0,540985,1168,13945,1300,L,C,0.798,The Unstoppable Economy Of Hong Kong: The Land Of Billionaires
Xq8H0GHU8AQ,20200614,0,713928,603,22220,2100,X,C,1.053,Why Australia is Actually an American Company
oJ8JU1O4I48,20200618,0,268482,735,10327,626,X,K,0.396,Why Game Theory is Not About Competition
aIQY44LCIjc,20200621,0,2136736,1314,36860,2500,L,H,3.152,The History of Global Banking: A Broken System?
KPGZgujnVek,20200625,0,763887,1005,24280,1400,X,K,1.127,Why Amazon is Begging For Regulations: The Twisted Economics of Amazon
lmrra8i4hZY,20200628,0,2093404,749,59608,12000,Q,K,3.088,Why Are Cold Countries Richer Than Hot Countries?
NqUSDi-mvqw,20200702,0,568982,1030,18203,1100,L,H,0.865,Adam Smith: The Grandfather Of Economics
PZ8-vtR5jng,20200705,0,862758,1046,22240,2400,Q,K,1.311,Could The Whole World Use Just One Currency?
swOpLpZaA78,20200709,0,859068,1005,28705,5600,Q,K,1.306,Is Wealth Inequality Actually a Problem?
WNmn7HQ63jU,20200712,0,183472,828,7476,788,X,K,0.279,Can Saving Too Much Money Cause a Recession?
_h_sWNsGssg,20200716,0,214006,874,8672,1200,Q,F,0.325,What Would a Thanos Snap do to the Economy?
7ko3LPb9Mxo,20200719,0,395730,1022,11620,947,L,C,0.601,The Weird and Wonderful Economy of Vatican City
wDzZD_YF_Wk,20200723,0,742257,988,22648,1100,L,K,1.128,Black Market Economics - What Drives the Underground Economy?
_XgU6ZT1QDk,20200726,0,529143,726,16433,1200,V,K,0.804,"Why 40,000 People Die for Every 1% Increase in Unemployment - The Big Short"
0Gpo8wKLw6Y,20200730,0,485412,915,16200,1000,L,H,0.738,The Economy of Ancient Egypt
Im0rzTWplwU,20200802,0,1308734,1150,40394,5600,V,E,1.989,How the U.S. Economy Just Lost 33% of its Value
iNlBizfi-jM,20200806,0,1194153,885,26069,3400,V,W,1.815,The Biggest Wealth Transfer in History is Upon Us
rVAJC2FMyuY,20200809,0,867942,1254,23614,2900,Q,W,1.319,Do We Need to Work 40 Hours a Week?
5sPlNsESRs0,20200813,0,586530,1044,19105,2000,L,E,0.891,Here's Why The Stock Market Is At An All-Time High
7XtafuTCWQ0,20200820,0,880618,990,29606,4300,V,K,1.338,Why Becoming A Cashless Society Is A Terrible Idea
zj2r948rUkQ,20200822,0,633904,464,53776,5100,V,M,0.963,Emergency PSA - The End of YouTube in Australia
Rqv0nuP4OAU,20200823,0,819430,906,25305,4100,L,W,1.245,The Student Debt Crisis: Explained
ezY33u8V8V8,20200827,0,361428,932,13683,1200,Q,C,0.549,Why Does China Manipulate its own Currency?
TeZNLanfkHo,20200830,0,570064,1004,18542,2500,Q,C,0.866,Vietnam: The Economy of the Next Decade?
zbuZFpuRUb0,20200904,0,348100,936,11093,800,N,K,0.529,The Multi-Billion Dollar Industry You've Never Heard Of
o6UXRZ2XwgU,20200910,0,2148198,1565,50919,3200,L,K,3.265,The Most Important Economic Schools of Thought | Economics Explained
G-Rp6bGORc8,20200913,0,756138,1112,24770,3100,V,E,1.149,Why You Should Be Very Afraid Of A K-shaped Recovery
hD784CHYhGM,20200917,0,2475760,1358,54732,5400,X,W,3.762,Why is Working Harder Making Us Poorer?
AqSExy3HBm0,20200920,0,1067113,1154,26955,2600,Q,W,1.622,What is the FIRE Movement? Could it be Hurting Our Economy?
fn39vHu0tm8,20200924,0,348707,1057,12727,1300,X,K,0.53,Why GDP Is Overrated & Nobody Should Care About It!
m2ItyqNiYuo,20200927,0,502961,1088,16656,2000,L,C,0.764,The Economy of Taiwan
r7GzaLROW0E,20201001,0,949779,1358,25654,2800,Q,E,1.443,Is Hyperinflation Coming?
No7HGqJz9Wg,20201004,0,275896,807,12946,1000,L,K,0.419,The Economics of the Prison Industrial Complex
6eL2Bq-U7GQ,20201008,0,1505312,1336,41531,5600,Q,K,2.288,"Are the ""Extreme"" Economic Systems Totally Pointless?"
N3LumSN26Ew,20201011,0,1033996,905,26436,1600,X,K,1.571,Why Unprofitable Companies Are Winning in 2020
p2IVj_T6y84,20201015,0,985013,1091,25633,3700,L,C,1.497,The Shifting Economics of California
XLU3yqQpI78,20201018,0,802175,984,22323,2700,V,W,1.219,The Growing Generational Wealth Gap
A-I4Vsl-AEg,20201022,0,614347,1210,19127,2800,X,K,0.934,Here's Why Supply and Demand is Overrated! | Economics Explained
R_wxk7Ihyok,20201025,0,546513,1342,13096,756,L,M,0.831,The 2020 Nobel Prize in Economics: Explained  | Economics Explained
qbfGPo_IUyc,20201029,0,228714,861,7729,963,L,F,0.348,The Pokémon Card Price Boom | Economics Explained
Wfun5G0pDos,20201101,0,359142,1257,15097,2100,L,E,0.546,The Economic Policies of the 2020 Election - Trump v. Biden  | Economics Explained
uz4QaFHFo1A,20201105,0,608623,1026,18914,1700,L,C,0.925,"The ""Evolving"" Economy of Kazakhstan | Economics Explained"
OEIy7timrRY,20201108,0,445264,973,17341,1900,Q,K,0.677,Does Tesla Deserve to be The World's Most Valuable Automaker? | Economics Explained
aiOLkRRyrIo,20201112,0,297065,953,14258,1300,Q,K,0.451,Could America Finally Win the War On Drugs?
Ba2dJXeop8U,20201115,0,346357,936,10021,1300,Q,E,0.526,Why the Stock Market is at an All Time High... Again?! | Economics Explained
D3Z1urH2OhQ,20201119,0,720338,1290,16888,1800,L,C,1.095,The Economy of Texas | Economics Explained
Qsrt6Hultj8,20201122,0,683060,880,21011,2400,X,C,1.038,How to Invest In Chinese Stock Markets (And Why You Absolutely Should Not!) | Economics Explained
Ot4qdCs54ZE,20201126,0,7960354,995,222040,17000,V,K,12.097,How The Dutch Economy Shows We Can't Reduce Wealth Inequality With Taxes | Economics Explained
N8IRKo7jVtg,20201129,0,191041,889,9638,1000,Q,K,0.29,"Can Presidents ""Make or Break"" an Economy?"
qo-2gDg-37w,20201203,0,4482517,825,81713,4700,X,E,6.812,Why are Billions of Dollars Worth of Ships Being Intentionally Destroyed? | Economics Explained
0mpsro3s5pI,20201206,0,2391093,1015,57017,10000,Q,E,3.634,"What is ""The Great Reset"" & Why are People So Worried About It? | Economics Explained"
LvpjwHT7o4I,20201210,0,765142,753,27029,1800,Q,K,1.163,Is the Fourth Industrial Revolution Worth the Hype? | Economics Explained
o9XHKc22wGk,20201213,0,500745,1057,17981,3700,N,W,0.761,"Why This Billionaire Wants To Give Every Baby $6,750 to Solve The Retirement Crisis?"
MsBbOaBcBfw,20201217,0,1008596,975,25601,3400,V,C,1.533,How Ireland Became 2020's Fastest Growing Economy | Economics Explained
0-uVse_LDSI,20201220,0,318504,1000,14908,1100,L,F,0.484,The Economy of Cyberpunk 2077: A Game of Cautionary Tales (And Bugs) | Economics Explained
lwYOJLGw-Mw,20201224,0,936411,1090,23952,2200,X,C,1.423,Why Would Amazon Want to Buy The Nation of Cyprus? & Could it Actually Do It? | Economics Explained
NgeswlEKB20,20201227,0,260344,1007,20830,1400,L,M,0.396,The Worst Mistakes Economics Explained Made in 2020 | Economics Explained
brW6-fbvmsQ,20201231,0,1137930,1140,33484,4800,V,C,1.729,The Faltering Economy of Argentina | Economics Explained
951bnXEf6ss,20210103,0,325951,690,13945,1900,L,C,0.486,How To Solve Poverty In China
HUYVN7KIYCE,20210107,0,815572,943,20848,1900,Q,W,1.215,Why Can't You Buy Anything Anymore? Well It's Not All The Virus' Fault  | Economics Explained
TlhUMFOBZHU,20210118,0,1070272,1027,28672,5100,L,C,1.595,"The ""Perfect"" Little Economy of New Zealand | Economics Explained"
hm4y8uqfu7I,20210221,0,511888,1167,15938,1300,L,K,0.763,The Economics of Hollywood | Economics Explained
FwHEjefqsKM,20210226,0,671143,942,20044,1100,L,C,1.0,Iceland's Story from Financial Crisis to Prosperity | Economics Explained
Dba1RqmzOjo,20210306,0,342525,954,12022,954,L,K,0.51,The Turbulent Economics of the Airline Industry | Economics Explained
DxELVyTyrtw,20210317,0,669279,998,19384,1000,Q,K,0.997,Why Are Modern Supply Chains So Needlessly Complex? | Economics Explained
UpXCUEOcyNs,20210325,0,294313,1022,11632,1100,X,K,0.439,Why The NFT Market Is Not As Crazy As You Think
olhL0X2oQTM,20210401,0,591570,861,17769,1400,V,E,0.881,How The Suez Crisis Might Give Rise To A New Industry | Economics Explained
1HmGLV46L60,20210411,0,3058517,1168,75971,8600,V,W,4.557,Hyperinflation is Already Here – You Just Haven't Realised It Yet | Economics Explained
ydeuxF0AkR8,20210427,0,1804421,1003,43383,2300,X,C,2.689,Why Silicon Valley and Shenzhen Have Exactly The Opposite Problem | Economics Explained
nUFZ1_fC3Kw,20210506,0,2369618,1405,46506,10000,V,W,3.531,Why Housing May Never Be Affordable Again
vQJ1wSQAHSI,20210523,0,2143474,991,52471,10000,V,E,3.194,The Great Labor Shortage Crisis | Economics Explained
heCsx4t_K08,20210607,0,1122221,1013,27064,2400,L,C,1.672,The Economy of Spain | Economics Explained
45jjg5RqV5U,20210619,0,409111,687,16491,1300,V,C,0.61,The Troubled Economy of El Salvador | Economics Explained
qEgpPJgaJng,20210719,0,2054936,880,54065,4300,V,E,1.0,8 Months of Stimulus Just Unraveled | Economics Explained
lbH_8Nj51HU,20210820,0,4382103,1091,94324,8200,V,C,2.132,Why You Should Be Worried About China's Debt Crisis | Economics Explained
_ohj_pOjp6U,20211001,0,2321604,1222,43037,3700,V,C,1.13,"The ""Dirty"" Economy Of Australia"
mn6NwCvFIaA,20211013,0,1307282,958,30890,1600,V,E,0.636,"Inflation Is Driving Secondhand Markets Out Of Control, Here’s Why | Economics Explained"
dcIQdlud88c,20211026,0,1991870,1138,42989,2900,V,C,0.969,China’s Blackouts Are Shining Light On A New Problem | Economics Explained
8BqLnRGOyDo,20211031,0,393351,1027,13288,1000,L,M,0.191,"The 2021 Nobel Prize in Economics, Explained"
P0G3lYTOI0Q,20211112,0,3509297,839,60223,9300,Q,C,1.708,How Has Brexit Been Going? | Economics Explained
kVOTPAxrrP4,20211126,0,14522434,1083,195914,24000,V,K,7.067,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained
ITvXlax4ZXk,20211208,0,3549404,839,67578,7100,V,C,1.727,China Has A Debt Problem Three Times Larger Than Evergrande | Economics Explained
ekoObpuMF9U,20211219,0,281771,689,11047,694,Q,M,0.137,Are Economists Too Pessimistic? | Economics Explained
L0pTrNEQ-JU,20211225,0,993417,1334,27255,2100,Q,E,0.483,"How is ""Transitory"" Inflation Going? | Economics Explained"
O4stI2TVPIc,20220115,0,3762313,1374,59581,6000,V,C,1.842,Why Türkiye Is Not Fixing It's Hyperinflation Problem | Economics Explained
BHHBP9TUEoQ,20220214,0,571825,832,14343,674,Q,E,0.28,Is A Stock Market Crash an Overdue Reality Check? | Economics Explained
rag4pHU7fcU,20220304,0,2243718,1064,47720,2300,V,C,1.098,How The Economy Of Japan Could Predict The Next Decade | Economics Explained
ZAMz5kgb7V4,20220318,0,5393608,1137,84217,6700,V,C,2.64,The Rather Pathetic Economy of Russia | Economics Explained
zrK2B2yMPrA,20220405,0,1068382,1060,32276,2900,Q,E,0.523,Do Sanctions Work? | Economics Explained
mEpgo14jwSk,20220516,0,1555631,915,49374,3000,X,E,0.761,The Recession We Need To Have | Economics Explained
S-6WNmL26wE,20220525,0,1860305,1010,46317,4600,Q,K,0.911,Was Dropping The Gold Standard A Mistake? | Economics Explained
zCt-jsnUnXo,20220603,0,961295,1099,31806,3800,L,C,0.471,The Economy of Ukraine: Before and After | Economics Explained
PkJlTKUaF3Q,20220616,0,7497138,970,152646,31000,V,W,3.67,Young Generations Are Now Poorer Than Their Parents And It's Changing Our Economies
qMaWegICQHA,20220628,0,2743106,1000,49666,3300,V,C,1.343,China's Major Tax Problem | Economics Explained
9Mjx5ooGm6U,20220722,0,748011,972,24695,1500,Q,E,0.969,Are We Stuck Between Hyperinflation And A Recession? | Economics Explained
GtksJpfoM_g,20220803,0,1355498,799,31806,4000,V,C,1.756,The Stagnating Economy of Canada | Economics Explained
hBBIH67TCBg,20220815,0,719680,926,21093,2500,Q,C,0.932,Could China's Currency Be The New World Reserve? | Economics Explained
yxsLrteNl0E,20220829,0,509424,862,19910,2200,X,K,0.66,Limitless Growth Is Possible If We Run Our Economies Correctly | Economics Explained
V30VyMMce9s,20220917,0,1523978,1690,43619,3900,V,C,1.974,No. China Is Not Going To Collapse... Yet
wMGAt4EC77w,20220923,0,1010228,1003,30079,4600,L,K,1.308,An Honest Discussion About A Universal Basic Income
mtvmqI0PV2M,20221001,0,2909819,1475,56637,12000,V,C,3.769,India Will Not Be The Next China
pnrAxfzHElo,20221011,0,3248916,1361,53871,3400,X,C,4.208,Why The Gulf States Need To Keep Building Big Dumb Mega Projects | Economics Explained
VL249mkXCog,20221021,0,772052,1211,19590,1600,Q,C,1.0,Is the UK Economy on the Brink of Collapse?
1XocjChs4g4,20221102,0,399120,945,14247,1300,Q,C,0.517,What Would The American Economy Look Like If COVID Never Happened?
L92eadRu6zE,20221119,0,595296,981,16081,1200,N,C,0.771,This One Country Doesn't Have an Inflation Problem
8yv0JwKdMrs,20221128,0,1030240,936,27403,1700,V,M,1.334,Why The 2022 Nobel Prize For Economics Is Making People So Angry
QxHMixhJPHA,20221207,0,745311,1165,20228,1300,Q,C,0.965,Does China Lie About Its Economic Statistics?
C1X36Iih_SA,20221216,0,424437,726,14506,893,Q,E,0.55,Is Inflation Finally Coming To an End?  | Economics Explained
Fe88ckTWyTU,20221224,0,5256952,856,49153,3200,X,C,6.809,How the World's Richest Country Lost 90% of its GDP
tJwQej0el5s,20230105,0,2226820,850,62448,6500,Q,K,2.488,Is There a Better Economic System than Capitalism?
ZFls7absdbs,20230110,0,647184,811,18120,1600,Q,C,0.723,What Would Happen if China's Economy Collapses?
LXxC8ni4fsc,20230118,0,1261372,1195,25705,1600,V,C,1.41,The Failing Economy of Sri Lanka
yfpDLun7DrM,20230123,0,311510,792,10890,847,V,K,0.348,The Brutal Economics of Migrant Labour
whfzA0A2xLg,20230131,0,1400317,955,25352,1900,X,C,1.565,The World's Poorest Country is Sitting on $24 Trillion
ROHl9bxubgc,20230206,0,475794,836,14392,2100,Q,E,0.532,Why Canada Is Banning Foreigners From Buying Homes
_gvsz_vc7B0,20230214,0,317999,802,13108,964,X,K,0.355,Did Washing Machines Change The Global Economy More Than The Internet?
Zwn6fqbNRLo,20230219,0,657094,1068,21160,1600,N,C,0.734,What Is The Most Equal Country on Earth?
YYvLEbC3kn8,20230226,0,2423627,807,57560,4800,V,K,2.708,The Tragic Reality of Brain Drain on Poor Countries | Economics Explained
W1OxR7Dd5wA,20230301,0,1485865,1122,27719,4400,V,C,1.66,The Failing Economy of Pakistan | Economics Explained
LKPQHHCcRA0,20230305,0,765499,862,16685,866,Q,C,0.855,Why Is Luxembourg The Richest Country In Europe? | Economics Explained
XmxRR3ZG02M,20230312,0,1032434,1300,22309,1800,L,K,1.154,The Economic Megathreats That the World Has No Answers To | Economics Explained with Dr. Roubini
geptr8DRNxs,20230319,0,342712,1005,8496,1100,V,C,0.383,How Zimbabwe's Lithium Export Ban Can Transform it into Africa's Next Superpower
mCjRbHL3cOs,20230326,0,698496,1056,17428,901,Q,E,0.781,Do Bank Failures Always Cause Recessions? | Economics Explained
ds5FVrT5udw,20230402,0,1367108,928,26875,3200,Q,C,1.528,Will The EU Fail? | Economics Explained
0yNot060rHM,20230409,0,963359,933,21910,1900,Q,C,1.077,Is South Korea's Economic Bubble About to Burst? | Economics Explained
AcG44jDBt9M,20230413,0,876307,1096,22464,2000,Q,C,0.979,How Has France Been Going?
zOYLiTj4vag,20230417,0,886275,829,25881,3000,X,K,0.99,"The biggest myths about economics, debunked | Economics Explained"
bnvj1-3hIoo,20230420,0,1967287,899,32602,4700,X,C,2.198,How Israel Got So Rich While Surrounded By Enemies
IAHUFleQBZI,20230423,0,894892,921,21070,1200,L,K,1.0,Why Nations Fail? | Economics Explained
XySs_KgzyDc,20230430,0,1169233,778,33609,4800,X,K,1.307,Capitalism Doesn't Need Consumers Anymore...
tW6aT_nzl6Q,20230507,0,1008206,965,21419,1000,V,C,1.127,Lebanon Lost 50% of Its Economy in 2 Years
OG35eaXdl7A,20230514,0,1528311,920,25482,4400,X,C,1.708,"Iran's Economy Could Be Huge, But They Don't Care 🇮🇷"
A-PFgCM4jwM,20230517,0,482569,828,17095,2400,Q,W,0.539,Do We Need To Have More Children?
wBjmgkeit6I,20230521,0,793562,901,20118,3700,Q,E,0.887,Should We Be Worried About The BRICS?
QaL-ocOtooM,20230525,0,1531397,862,33071,1700,N,K,1.711,The Inequality Problem Nobody Likes To Talk About
XXI6AoOGEmU,20230530,0,1329623,990,32894,2400,X,C,1.486,Don’t Underestimate the German Economy 🇩🇪
UkkJuqTbLIU,20230604,0,1071754,985,22306,1600,V,C,1.198,The World's Most Dangerous Economy: Somalia
qJbIlaqTMT0,20230608,0,961484,859,20162,2100,V,K,1.074,The Big Problem Behind Shrinking Cities
r5sw-6lJmTA,20230614,0,842879,968,25900,2400,X,W,0.942,Why More Education Is Not Always Better
CqtPo9lYOiE,20230618,0,246424,759,7795,563,N,C,0.275,The World’s Smallest Economy Is Disappearing | Economics Explained
tsahMxXdW30,20230621,0,877506,1031,22229,4100,Q,C,0.981,Why Is Europe Always Lagging Behind the US?
hl-woY7mQVg,20230625,0,352180,829,10447,1100,Q,C,0.394,How Does Finland Redefine Economic Success? 🇫🇮
IAqj30s4lH8,20230702,0,1736374,1001,30168,1400,X,K,2.429,What Everyone Gets Wrong About Global Debt | Economics Explained
dr5z2WvEXBI,20230709,0,907558,1044,21772,2900,V,C,1.27,Mexico Will Not Be the Next China 🇲🇽
BtVNO0H7yLU,20230716,0,669761,888,19464,1600,V,K,0.937,Why Inequality Starts Becoming a Problem Now
pvqkehKfQsg,20230723,0,597104,910,16106,1600,V,C,0.835,Taiwan Is More Than Microchips and Tensions With China | Economics Explained
E_M1pX1EeHo,20230727,0,983061,984,23488,2400,Q,C,1.375,Why Is Indonesia One of the Fastest Growing Economies in the World? 🇮🇩
pynhu7kY480,20230730,0,927386,1269,21835,2000,V,K,1.297,Skills Wars Are the New Trade Wars
mWk-5TvzQSU,20230806,0,453826,896,13294,1400,Q,C,0.635,Should the USA Shut Off to Save Its Economy?
Vg9Aiz2piew,20230813,0,451275,839,14006,828,L,K,0.631,The Game Theory of Military Spending | Economics Explained
6OTPa66ytm0,20230820,0,540544,1160,15372,988,Q,K,0.756,How Do We Test Capitalism vs Communism?
KB1vxqD0uPE,20230827,0,831403,828,18405,1600,V,C,1.163,"How Singapore Got Crazy Rich, Crazy Fast"
VRPjLSobdJY,20230830,0,1429219,1086,27697,3300,N,C,1.999,Something Weird Is Happening in California
y4vOuRv9jyA,20230906,0,361722,951,10594,681,X,C,0.506,Why Saudi Arabia Pours Billions Into Sport Stars (And It Makes Sense)
qTulYqP6vkI,20230912,0,363600,1124,12806,1000,Q,K,0.509,Will Life on Mars Ever Be Economically Viable?
