id,date,views,likes,comments,dur,title
X01WnWVnR-0,20260802,28007,859,46,1551,China Just Built an Electric Plane — And It's Already Certified
4Of0a6WL7Tg,20260803,61673,1317,53,1357,China Is Building A New Undersea Tunnel And It's Shocking
H_2Oqo1Bxb4,20260804,12828,754,22,1666,China Just Made a Shocking Discovery in Antarctica
eKJhY3jYizc,20260805,13476,508,36,1434,China Is Quietly Destroying Japanese Car Brands
qWacFBgLXrU,20260806,3998,150,4,1348,How Is China Building A Deep Sea Creature in a Factory
1UZ_djIyGk0,20260807,41584,1589,50,1639,China's 93.8% Efficiency Engine Is Shaking The Entire Auto Industry
AXdwsoMO-MM,20260808,19973,1182,38,1354,China’s INSANE 6G Breakthrough — 100X FASTER
NKQTGKkX3tw,20260809,512103,5373,196,1686,China's BYD Is Taking Over the World's Shipping Lanes — And Nobody Knows
qxg6VNAyZJQ,20260810,45900,700,35,1226,China’s $4B Airport Being Built in the MIDDLE OF THE OCEAN
gsxfzP-MP6I,20260811,77063,4309,134,1816,China Just Built a Machine That Could End the Global Water Crisis
b4zgNhX9B40,20260812,486553,17569,885,1572,China’s New Invention Could Replace Plastic Forever
g3T3RhUFmwo,20260814,21531,752,29,1437,China's New Factory Could Replace Diamonds Forever
Yisdgz1CRPQ,20260815,36365,1029,58,1211,China Just Built The Fastest Passenger Train In The World
EtxcqFoAEPM,20260816,46212,1088,31,1489,China’s Mega Construction Machines Are Shocking Everyone!
vxmvO19Qawg,20260817,25717,532,35,1505,Toyota’s Historic Deal With BYD Shocked the Entire EV Industry!
wT9aQQdifFU,20260818,52355,3148,64,1494,China's New Material Could Replace Solar Panels Forever
coWjcvDOeF4,20260819,25934,593,39,1355,"China Built a Massive 2,700km Elevated Railway in the Mongolian Desert"
