channelTitle,handle,niche,subNiches,mainCategory,nicheConfidence,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,languages,isFaceless,channelType,breakoutChannel,publishedAt,lastVideoPublished,channelId,longAvgDuration30d,longAvgDuration1y,shortAvgDuration30d,longVideoCount30d,shortVideoCount30d,longViewCount30d,shortViewCount30d,subsGrowth30d,viewsGrowth30d,_per_video,_lifetime,_age_days,_vids_per_mo,_cadence_src,_usd_per_video,_implied_rpm,_tier1_geo,_runtime_min
Keen's Buildings,@keensbuildings2201,Prefabricated Buildings,"['Metal Buildings', 'Garages & Sheds', 'Barndominiums']",Knowledge,0.9800000190734864,2560,47813.62857142857,6693908,140,451.59,US,en,False,,True,2020-11-24T14:40:19Z,2026-08-06T00:00:00.000Z,UCkCBdev-LuxYZ8uluKi5_lg,643.5,317.1333333333333,46,2,0,,,49.71,100.2,18.677198660714286,2614.8078125,2085,2.0,30d,225.795,,True,10.725
Curious Fing,@curiousfing,Mystery & Science Documentary,"['Ancient Mysteries', 'Mythical Creatures', 'Art History']",Knowledge,0.8500000238418579,5520,70644.75,565158,8,1586.79,US,en,True,,True,2022-11-12T17:43:40Z,2026-08-03T00:00:00.000Z,UCRvztEVlKokgQ-6gvL1RHeg,611.4285714285714,587.25,,7,0,,,324.62,48.67,12.797961956521739,102.38369565217391,1367,7.0,30d,226.68428571428572,,True,10.190476190476192
Kinetic Audits,@kineticaudits-1a,First Amendment Audits,"['Civil Rights', 'Police Interactions', 'Public Recording']",Knowledge,1,3050,36868.292207792205,5677717,154,5711.54,US,en,False,,True,2026-01-14T19:27:21Z,2026-07-24T00:00:00.000Z,UClG-XtwTsjyeI1UNsNu2WLA,1260,1532.4666666666667,59,1,1,,,26.56,28.96,12.087964658292526,1861.546557377049,208,2.0,30d,2855.77,,True,21.0
Evo Scale,@evoscales,Evolutionary History,"['Technological Evolution', 'Comparative Data Visualization', 'Object History']",Knowledge,0.949999988079071,3020,24531.433333333334,735943,30,1586.65,US,en,True,,True,2024-10-06T12:55:22Z,2026-08-09T00:00:00.000Z,UCHXpmqUly0bn_whmgPOOpQA,256.2857142857143,285,,7,0,,,37.27,53.85,8.122991169977926,243.68973509933775,673,7.0,30d,226.66428571428574,,True,4.271428571428571
Ad Titans Show,@adtitans,Advertising History,"['Marketing History', 'Cultural Impact of Advertising', 'Brand Analysis']",Knowledge,1,3580,28650.1875,458403,16,765.31,US,en,,,True,2026-01-07T17:11:42Z,2026-08-09T00:00:00.000Z,UCgPqjpdWRUAl4HnRkEDPLbw,1026.6,1064.8333333333333,,5,0,,,21.77,36.49,8.00284567039106,128.04553072625697,215,5.0,30d,153.06199999999998,,True,17.11
Factomni,@factomnii,Animal Education,"['Wildlife Facts', 'Zoology', 'Animal Biology']",Knowledge,1,4180,33373.52,834338,25,1734.41,US,en,,,True,2021-05-14T03:54:21Z,2026-08-05T00:00:00.000Z,UCWy7tVRW4T1Xg-JgLIPdD7w,532.5,603.3333333333334,,6,0,,,33.97,51.44,7.984095693779904,199.60239234449762,1915,6.0,30d,289.0683333333333,,True,8.875
The Court Code,@thecourtcode,Legal Commentary,"['Courtroom Drama Analysis', 'Legal Case Breakdown', 'Judicial Ethics']",Knowledge,0.949999988079071,3190,25072.772727272728,1103202,44,1334.4,US,en,False,,True,2010-10-22T22:09:42Z,2026-08-07T00:00:00.000Z,UCLK8hrHotmCkIoLK_n1IsXw,1773.75,1792.4772727272727,,8,0,,,27.6,36.07,7.8598033627814194,345.83134796238244,5771,8.0,30d,166.8,,True,29.5625
DJ True Crime,@djtruecrime,True Crime,"['Serial Killers', 'Documentary Storytelling', 'Criminal Investigations', 'Cold Cases']",Knowledge,1,3130,22895.684210526317,435018,19,844.77,US,en,False,,True,2026-01-22T01:14:27Z,2026-08-03T00:00:00.000Z,UCCQNFiS085qxubPpLyHNV8Q,564.75,552.125,,4,0,,,226.38,348.81,7.3149150832352445,138.98338658146966,201,4.0,30d,211.1925,,True,9.4125
Growzen,@growzen96,Personal Development,"['Productivity', 'Habit Formation', 'Mindset', 'Self-Education', 'Time Management']",Knowledge,0.949999988079071,3840,26811.727272727272,294929,11,1354.68,US,en,True,,True,2025-06-25T13:47:32Z,2026-08-04T00:00:00.000Z,UCbK9MpWs1gK7yCks5qOPxLQ,615.3333333333334,544.3333333333334,,3,0,,,143.04,240.28,6.982220643939394,76.80442708333334,411,3.0,30d,451.56,,True,10.255555555555556
GateNerd,@gate-nerd,History and Geopolitics,"['Geopolitical History', 'Military History', 'Social History']",Knowledge,0.949999988079071,34600,225878.14285714287,12649176,56,497.03,US,en,,,True,2022-12-10T16:19:16Z,2026-07-30T00:00:00.000Z,UC3KXMPeSyQjb9lvxnC0dHSg,161.33333333333334,265,169.71428571428572,0,7,,,42.39,80.37,6.528270024772915,365.58312138728326,1339,7.0,30d,71.00428571428571,,True,2.688888888888889
Geo Metrics,@geometriics,Human Geography,"['Geographical Facts', 'Regional Demographics', 'Population Geography']",Knowledge,0.8999999761581421,8520,49689.75,1391313,28,3900,US,en,True,long,True,2017-01-19T23:06:53Z,2026-08-06T00:00:00.000Z,UCNf7V340_nDhpPmSqugnX9A,2374.1666666666665,2148.5555555555557,,6,0,645096,0,58.66,86.45,5.832130281690141,163.29964788732394,3490,6.0,30d,650.0,6.045611815915771,True,39.56944444444444
golfcart,@golfcartmedia,Internet Personalities & Creator Economy,"['Streamer & Influencer Analysis', 'Digital Creator Business & Controversies']",Knowledge,1,173000,925983.35,18519667,20,14195.33,US,en,False,long,True,2024-01-22T17:20:07Z,2026-08-03T00:00:00.000Z,UC47bVM4Nh93_pNMOFgb3XxQ,1449,1204.4,,1,0,3089016,0,16.11,20.02,5.352504913294798,107.05009826589595,931,1.0,30d,14195.33,4.5954213251080605,True,24.15
Glaczora,@glaczora,Science,"['Space Exploration', 'Astronomy', 'Technology']",Knowledge,0.8999999761581421,13900,71368.13186813187,6494500,91,453.48,US,en,,short,True,2025-02-11T07:01:16Z,2026-08-09T00:00:00.000Z,UCtO9Og8XDjUcGGFWCYSUvuQ,273,288.25,71.25,0,8,254,3734440,247.5,135.32,5.134397976124594,467.23021582733816,546,8.0,30d,56.685,0.12142360257627532,True,4.55
BankoR’ Monsters,@bankorplay,My Singing Monsters,"['Fan Theory', 'Game Scenarios', 'Music Remixes']",Knowledge,0.949999988079071,4720,22470.153846153848,3505344,156,905.26,US,en,,mixed,True,2020-04-01T15:53:35Z,2026-08-05T00:00:00.000Z,UCcrlUz7iq_ShdqHlbbeo5kg,415.4,382.125,27,5,2,137874,549247,21.03,24.38,4.760625814863103,742.6576271186441,2322,7.0,30d,129.32285714285715,1.3174681024157318,True,6.923333333333333
MrGee Math,@mrgeemath,Mathematics,"['Conceptual Mathematics', 'History of Mathematics']",Knowledge,1,131000,615270.9736842106,116901485,190,3343.45,US,en,False,short,True,2023-09-30T02:13:39Z,2026-08-08T00:00:00.000Z,UCfUpjvXL64juGG48Dzsk3cQ,,638,67.35714285714286,0,14,239154,15110362,11.02,15.11,4.696724989955806,892.377748091603,1046,14.0,30d,238.81785714285712,0.21782120035576366,True,10.633333333333333
No Stone Unturnt,@nostoneunturnt,Natural History,"['Paleontology', 'Dinosaurs', 'Zoology']",Knowledge,1,4880,22531.720930232557,968864,43,1532.45,US,en,,,True,2006-06-23T23:40:55Z,2026-07-31T00:00:00.000Z,UCjAbE-GlbbQHU0pq4-5-z9w,142.33333333333334,344.375,33,3,1,,,28.42,36.08,4.617155928326344,198.53770491803277,7353,4.0,30d,383.1125,,True,2.3722222222222222
JerryThink,@jerrythink,Geography,"['Regional Geography', 'Geographic Education/Facts']",Knowledge,1,119000,496585.62025316455,39230264,79,1424.9,US,en,,,True,2023-08-08T01:42:25Z,2026-08-07T00:00:00.000Z,UCh4JTTIajPxowryqDrz0llw,175,348,168.23076923076923,0,13,,,41.5,42.43,4.172988405488778,329.66608403361346,1099,13.0,30d,109.60769230769232,,True,2.9166666666666665
The Gravity Well,@the_gravity_well,Space & Astronomy,"['Cosmology', 'Astrophysics', 'Black Holes']",Knowledge,0.949999988079071,49200,195616.19130434783,22495862,115,305.11,US,en,,,True,2025-10-08T09:01:11Z,2026-08-08T00:00:00.000Z,UCFTJM7hwk8p9dkPbMZmYWIg,,,49.4,0,15,,,43.02,46.14,3.975938847649346,457.2329674796748,307,15.0,30d,20.340666666666667,,True,
Ctrl+Alt+Fail,@ctrlaltfailyt,Tech History,"['Corporate Tech History', 'Tech Failures', 'Soviet Tech History']",Knowledge,1,9640,31844.555555555555,859803,27,1806.71,US,en,True,,True,2008-06-14T17:01:07Z,2026-08-06T00:00:00.000Z,UCK4hn2TaXwPd-TI8sIkutJQ,1110.909090909091,1114.888888888889,,11,0,,,147.18,153.01,3.303377132319041,89.19118257261411,6631,11.0,30d,164.24636363636364,,True,18.515151515151516
VigilantCam,@vigilantcam-q3i,Police & Legal Rights Education,"['Traffic Stop Law & Rights', 'Police Encounter Analysis', 'Criminal Justice Education']",Knowledge,1,45500,139765.61538461538,5450859,39,10201.98,US,en,,long,True,2025-06-26T19:11:01Z,2026-08-09T00:00:00.000Z,UCZiIcUeoKMHbw5kB6xf-4yw,1741.8,1589.2439024390244,,10,0,2247633,0,57.44,70.17,3.0717717666948436,119.7990989010989,410,10.0,30d,1020.198,4.538988349076562,True,29.029999999999998
ThinkMan,@thinkmanorigins,Anthropology,"['Evolutionary Anthropology', 'Ancient History', 'Human Behavior']",Knowledge,0.8999999761581421,16800,50725.73333333333,760886,15,3688.85,US,en,,,True,2022-08-08T05:36:14Z,2026-08-06T00:00:00.000Z,UCdRKykJ9kiBGJ9FCVFZ41Mg,1044.4285714285713,867.0625,,7,0,,,99.76,419.73,3.019388888888889,45.29083333333333,1464,7.0,30d,526.9785714285714,,True,17.407142857142855
True Crime Files,@truecrimefiles-v4k,True Crime,"['Unsolved Mysteries', 'Cold Cases', 'Missing Persons Cases']",Knowledge,1,11700,29900.966666666667,897029,30,925.28,US,en,False,,True,2025-12-29T07:55:12Z,2026-08-04T00:00:00.000Z,UCcVs-w9_j9xbJ0xmIWCNj2A,1487.1666666666667,1348.9666666666667,,6,0,,,115.07,93.98,2.5556381766381766,76.6691452991453,225,6.0,30d,154.21333333333334,,True,24.78611111111111
Diagnosis Glitch,@diagnosis_glitch,Medical True Crime,"['Medical Mysteries & Anomalies', 'Medical Malpractice & Systemic Failures', 'Medical Serial Killers']",Knowledge,0.949999988079071,82800,211334.5,7185373,34,5666.89,US,en,,,True,2025-08-27T14:35:17Z,2026-08-09T00:00:00.000Z,UC8r37MJcJTm1UyfxanfG3nQ,1081,1001.5277777777778,46.5,5,0,,,11.44,14.72,2.552349033816425,86.77986714975846,348,5.0,30d,1133.3780000000002,,True,18.016666666666666
Uncle John Financial ,@unclejohnfinancial,Retirement Planning,"['Social Security Benefits', 'Medicare Planning', 'Retirement Income Strategies']",Knowledge,1,28400,65474.02702702703,2422539,37,2759.1,US,en,True,,True,2025-12-30T14:47:50Z,2026-08-05T00:00:00.000Z,UCWugleQL2wqr5N1X4o8yyLw,1088,1090.2941176470588,52,4,0,,,36.54,33.41,2.305423486867149,85.3006690140845,223,4.0,30d,689.775,,True,18.133333333333333
Cosmic Observer,@cosmicobservertv,Space & Astronomy,"['Astrophysics', 'Planetary Science', 'Space Documentaries']",Knowledge,1,23700,50793.47368421053,2895228,57,927.38,US,es,True,,True,2018-08-11T00:37:44Z,2026-08-08T00:00:00.000Z,UCWHIYfe9tkt2W3aukviBzDg,1268.4,989.7307692307693,44.75,5,4,,,38.6,22.06,2.143184543637575,122.16151898734178,2922,9.0,30d,103.04222222222222,,True,21.14
Quick Explore,@quickexplore,Educational Animation,"['Historical Trivia', 'Ancient History', 'Survival Facts', 'Daily Life History']",Knowledge,0.8999999761581421,22800,43964.75666666667,13189427,300,1023.91,US,en,True,short,True,2021-03-03T10:29:19Z,2026-08-08T00:00:00.000Z,UC0c4aw19zQ_o5M87U34HqIw,90,90,93.4,0,15,0,8467467,162.98,179.32,1.9282788011695906,578.4836403508772,1987,15.0,30d,68.26066666666667,0.12092282142936014,True,1.5
Land Network,@landdotcom,Real Estate,"['Land Buying Tips', 'Rural Real Estate', 'Property Investment']",Knowledge,0.949999988079071,152000,280346.3032786885,34202249,122,898.67,US,en,,mixed,True,2006-11-08T15:10:36Z,2026-07-30T00:00:00.000Z,UC1zRdeEEk5_gtcgIEHeO4rw,71,160,44,0,2,207266,599274,21.6,2.42,1.8443835742018981,225.01479605263157,7215,2.0,30d,449.335,1.1142286805366133,True,1.1833333333333333
Dr. İsmail Kurun,@ismailkurun,Intellectual Discourse,"['Philosophy', 'Religious Studies', 'Political Science']",Knowledge,0.949999988079071,13200,23830.22857142857,834058,35,394.33,US,"tr, en",,,True,2015-02-05T08:44:33Z,2026-08-09T00:00:00.000Z,UC_uO9o_FSSkenGkoT430n2A,3712.75,3661.0666666666666,32,4,0,,,86.97,44.27,1.8053203463203464,63.18621212121212,4205,4.0,30d,98.5825,,True,61.87916666666667
Everything Is Influence,@everythingisinfluence-susan,Social Intelligence & Influence,"['Persuasion & Communication', 'Movie & TV Analysis', 'Self-Improvement']",Knowledge,0.9800000190734864,36200,64675.16071428572,3621809,56,4824.53,US,en,True,,True,2025-10-05T14:44:24Z,2026-08-08T00:00:00.000Z,UCWVJeJKLH0Rq_7xQWk7IUPw,668.8333333333334,380.2063492063492,,6,0,,,209.4,113.48,1.7866066495659039,100.0499723756906,309,6.0,30d,804.0883333333333,,True,11.147222222222222
Portfolio Breakdown,@portfoliobreakdown,Investing,"['Celebrity Wealth Analysis', 'Investment Strategies', 'Financial Biographies']",Knowledge,0.949999988079071,22100,36635.13559322034,2161473,59,2425.28,US,en,False,,True,2025-12-26T21:03:54Z,2026-08-06T00:00:00.000Z,UCoORtzSHm6K70n0Nwfn4yNQ,891.4,734,22,5,0,,,51.37,61.74,1.657698443132142,97.80420814479638,227,5.0,30d,485.05600000000004,,True,14.856666666666666
BOOKKEEPA™ ACADEMY,@bookkeepa1748,Financial Technology,"['Bookkeeping Software', 'Small Business Finance', 'AI in Finance']",Knowledge,0.949999988079071,250000,414107.9246575342,60459757,146,732.49,US,en,True,long,True,2022-06-01T17:11:31Z,2026-08-08T00:00:00.000Z,UCg9VZI0RNkBAQKIoQWuWfLw,120,176.54545454545453,116,2,1,149613,588720,14.16,1.24,1.6564316986301368,241.839028,1531,3.0,30d,244.16333333333333,0.9920862266754974,True,2.0
Jackdaw,@jackdawjpg,Anthropology,"['Human Evolution', 'Social Structures', 'Critical Thinking']",Knowledge,0.8999999761581421,127000,189805.42857142858,2657276,14,3259.27,US,en,,,True,2013-05-20T00:28:38Z,2026-08-06T00:00:00.000Z,UCvhjLch7MMc9O8toGFW0hSg,1249,1373,81.33333333333333,1,3,,,20.95,36.35,1.494530933633296,20.923433070866142,4831,4.0,30d,814.8175,,True,20.816666666666666
Tom Sosnoff,@sosnoffonmoney,Finance,"['Personal Finance', 'Trading & Investments', 'Career & Entrepreneurship']",Knowledge,0.9800000190734864,55700,78417,1725174,22,3772.2,US,en,False,,True,2025-11-21T14:16:04Z,2026-08-06T00:00:00.000Z,UCq8wk1sxm3do7-o8iUkVi_w,708,467.5,37.75,2,4,,,56.9,61.37,1.4078456014362657,30.972603231597844,262,6.0,30d,628.6999999999999,,True,11.8
History Camp,@history-camp,History,"['Historical Figures', 'Dark History']",Knowledge,1,98400,126307,7325806,58,3346.83,US,en,False,long,True,2024-10-10T03:17:25Z,2026-08-05T00:00:00.000Z,UCejT2lhBB_Dawo5sVTGuXFQ,2410.75,2885.980769230769,,4,0,1331622,231,16.86,22.22,1.2836077235772358,74.44924796747968,670,4.0,30d,836.7075,2.5129124610598916,True,40.17916666666667
HitoCast,@hitocast,Sports History,"['Football Biographies', 'English Language Learning']",Knowledge,0.8999999761581421,27800,31736.757281553397,3268886,103,11477.14,US,en,True,,True,2025-11-03T01:33:44Z,2026-08-08T00:00:00.000Z,UCJ75C5OMAGzGY9Z21fND_1Q,1517.2727272727273,1419.357142857143,55,11,0,,,72.67,134.91,1.141609974156597,117.58582733812949,281,11.0,30d,1043.3763636363635,,True,25.28787878787879
Jake the Lawyer,@internetesquire,Legal & Historical Analysis,"['US Constitutional Law', 'US History', 'Geopolitical & Military History']",Knowledge,0.8999999761581421,88000,95502.975,3820119,40,5415.48,US,en,False,long,True,2025-10-11T17:21:50Z,2026-08-07T00:00:00.000Z,UCjfp8mYz5oHLEwHNaDsLSew,2236.5,1897.6,143,2,1,1175147,15732,15.33,45.29,1.0852610795454547,43.41044318181818,303,3.0,30d,1805.1599999999999,4.547464519905045,True,37.275
TET COMMUNITY,@tetcommunity,Trading,"['Technical Analysis', 'Order Flow Trading']",Knowledge,1,23300,24260.52380952381,509471,21,649.81,US,"en, so",True,,True,2023-10-08T13:44:49Z,2026-07-27T00:00:00.000Z,UCP0w3afP4ImtspDhvM60fRw,2505.2,2610.05,104,5,1,,,57.43,149.1,1.0412241978336398,21.86570815450644,1037,6.0,30d,108.30166666666666,,True,41.75333333333333
Tartaria Vault,@tartariavault,Alternative History,"['Tartarian Empire', 'Mudflood Theory', 'Hidden/Lost Technology']",Knowledge,0.949999988079071,203000,159937.412371134,15513929,97,15104.95,US,en,True,long,True,2016-01-02T18:06:45Z,2026-08-09T00:00:00.000Z,UCDPnPGxw18XFq8uiJUYiO6w,1997.4444444444443,1501.2268041237114,,9,0,2505000,0,16,19.26,0.7878690264587882,76.42329556650246,3873,9.0,30d,1678.3277777777778,6.029920159680639,True,33.29074074074074
Apex Psychology,@apexpsychologyyt,Psychology,"['Social Psychology', 'Personal Development', 'Human Behavior']",Knowledge,0.949999988079071,124000,95587.75280898876,8507310,89,7087.63,US,en,True,,True,2017-10-10T01:51:15Z,2026-08-08T00:00:00.000Z,UCM9JCK-r3SwmNpgX1BvChEQ,950.8571428571429,915.0487804878048,,14,0,,,13.76,15.71,0.7708689742660384,68.60733870967742,3227,14.0,30d,506.25928571428574,,True,15.847619047619048
The Frankie Graham Jr. Foundation ,@frankiegrahamjrfnd,Education,"['Non-profit & Social Impact', 'Music for Education', 'Community Support']",Knowledge,0.800000011920929,81400,62173.026845637585,9263781,149,15965.38,US,en,True,,True,2008-02-01T02:09:38Z,2026-08-01T00:00:00.000Z,UCIc4Z0eEszLmnZrhl3NN75w,119.66666666666667,208.5148514851485,31,3,0,,,106.6,404.18,0.7637963985950563,113.8056633906634,6766,3.0,30d,5321.793333333333,,True,1.9944444444444445
Adding Years,@addingyears,Longevity Science,"['Anti-Aging', 'Health & Fitness', 'Longevity Technology']",Knowledge,0.9800000190734864,52500,38676.76666666667,1160303,30,1204.07,US,en,,long,True,2025-09-14T21:26:31Z,2026-08-06T00:00:00.000Z,UC5kdVUE46mELxtLRrOBPdGw,2952.5,2341.7,,2,0,197982,0,95.17,20.57,0.7367003174603175,22.101009523809523,330,2.0,30d,602.035,6.081714499297916,True,49.208333333333336
доктор Максим Ярошевич - Код Долгой Жизни,@dr_yaroshevich,Health,"['Longevity', 'Preventive Health', 'Nutrition']",Knowledge,0.949999988079071,110000,74036.01388888889,5330593,72,781.43,US,ru,True,,True,2007-09-21T21:12:10Z,2026-08-01T00:00:00.000Z,UCV65Ij_nqlbIH25m4uBFIxw,1937.142857142857,1975.7808219178082,,14,0,,,11.34,14.7,0.6730546717171717,48.459936363636366,6898,14.0,30d,55.81642857142857,,True,32.285714285714285
The Archive In Between,@thearchiveinbetween,Speculative Fiction Lore & Worldbuilding,"['Fantasy Lore', 'Science Fiction Lore', 'Fictional Worldbuilding']",Knowledge,1,154000,82343.04237288136,29149437,354,2428.55,US,en,True,short,True,2022-12-17T16:32:18Z,2026-08-06T00:00:00.000Z,UC_ELnYVFVVwliodQDNgjgZA,234.66666666666666,332.0344827586207,97.28571428571429,3,7,275329,5999541,15.79,27.43,0.5346950803433854,189.28205844155843,1332,10.0,30d,242.85500000000002,0.3870279384274097,True,3.911111111111111
"Bazgha Khalid, MD",@bazghakhalidmd,Medical Weight Loss & Metabolic Health,"['GLP-1 Medications & Peptides', 'Obesity Medicine', 'Metabolic Health Education']",Knowledge,1,63800,30694.951219512193,3775479,123,6278.61,US,en,False,long,True,2024-07-08T03:45:06Z,2026-08-08T00:00:00.000Z,UCpsob9uPVCxQjGbkAd21mAg,675.2,700.9090909090909,33,5,0,1037489,4989,37.2,38.14,0.4811120880801284,59.1767868338558,764,5.0,30d,1255.722,6.022774581334089,True,11.253333333333334
English Conversation Podcast,@englishconversationpod,English Language Learning,"['Conversational English', 'English Speaking Practice', 'Language Learning Mindset']",Knowledge,0.949999988079071,82900,36703.24193548387,2275601,62,2102.87,US,en,True,,True,2026-01-03T11:10:56Z,2026-08-02T00:00:00.000Z,UCwbB5L_QsaCA_NJVo8Fk1wQ,1825.625,1581.1833333333334,,8,0,,,16.93,17.58,0.4427411572434725,27.449951749095295,220,8.0,30d,262.85875,,True,30.427083333333332
Bruno Raschio,@brunoraschio,Entrepreneurship,"['Finance & Investing', 'Entrepreneurial Journeys', 'Business Strategy']",Knowledge,0.949999988079071,77400,31101.181395348838,6686754,215,2331.62,US,en,,,True,2024-01-19T22:19:22Z,2026-07-23T00:00:00.000Z,UCTl0e7lIGmiFj-gJIe3fXNQ,138.25,1177.909090909091,58.5,4,2,,,91.58,70.59,0.4018240490355147,86.39217054263565,934,6.0,30d,388.6033333333333,,True,2.3041666666666667
Amor e padrões mentais,@amorepadroesmentais,Relationship Advice,"['Dating & Attraction', 'Understanding Men', 'Female Empowerment in Relationships']",Knowledge,0.9800000190734864,95000,29820.930379746835,4711707,158,1107.56,US,pt,True,long,True,2021-09-06T18:29:32Z,2026-07-28T00:00:00.000Z,UCCgRotG6Zo7OSboOEBvoeXg,1718.5714285714287,1914.0774193548386,,7,0,708347,0,12.56,17.69,0.3139045303131246,49.596915789473684,1799,7.0,30d,158.22285714285712,1.5635839496743826,True,28.642857142857146
Em on the brain !,@emonthebrain,Mental Wellness & Self-Improvement,"['Neuroscience & Cognition', 'Mental Health Coaching']",Knowledge,0.949999988079071,119000,36699.50632911392,2899261,79,2708.94,US,en,False,mixed,True,2016-12-01T02:49:05Z,2026-08-08T00:00:00.000Z,UCq1SlvOJUkkRA0aAFnIW_4A,1431.5,1415.35,63.333333333333336,4,3,443121,133966,13.33,24.85,0.30839921284969685,24.36353781512605,3540,7.0,30d,386.99142857142857,4.694162232037804,True,23.858333333333334
