channelTitle,handle,niche,subNiches,mainCategory,nicheConfidence,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,languages,isFaceless,channelType,breakoutChannel,publishedAt,lastVideoPublished,channelId,longAvgDuration30d,longAvgDuration1y,shortAvgDuration30d,longVideoCount30d,shortVideoCount30d,longViewCount30d,shortViewCount30d,subsGrowth30d,viewsGrowth30d,_per_video,_lifetime,_age_days,_vids_per_mo,_usd_per_video
𝙏𝙊𝙎𝙃𝙄𝙆𝙄⚡,@tigernation-o9d,General Entertainment,"['Viral Content', 'Curiosity', 'Life Hacks']",Entertainment,0.8999999761581421,3820,198692,198692,1,,US,fr,True,,True,2023-03-19T21:47:41Z,2026-08-03T00:00:00.000Z,UCOz9dZzzp8LZezQbtz54WKA,,,13.733333333333333,0,30,,,409.33,282.27,52.01361256544503,52.01361256544503,1237,0.024252223120452707,0.0
Mangix,@tvmangix,Animal Storytelling,"['Animal Behavior', 'Heartwarming Content']",Entertainment,0.949999988079071,2200,100848.88372093023,4336502,43,,US,en,True,,True,2024-10-17T01:43:47Z,2026-08-03T00:00:00.000Z,UC1HNlEElgS3N7cEZ4ClhHCg,,,41.46153846153846,0,13,,,197.3,432.31,45.84040169133192,1971.1372727272728,660,1.9545454545454546,0.0
OliveFuns,@olivefuns,Humor,"['Comedy Shorts', 'Memes', 'Funny Moments']",Entertainment,0.800000011920929,3000,135521.97872340426,12739066,94,,US,en,True,,False,2025-12-09T22:30:22Z,2026-08-05T00:00:00.000Z,UCNc0abt0p04v34BDfk7viEA,,,34,0,12,,,1.69,1.92,45.17399290780142,4246.355333333333,241,11.701244813278008,0.0
littlerobloxboy,@littlerobloxboy,Fan Animation,"['Deltarune', 'Undertale', 'Video Game Remixes', 'Short-form Content']",Role-playing video game,0.8999999761581421,1360,60238.8125,963821,16,,CA,en,True,,True,2018-02-02T19:21:58Z,2026-08-02T00:00:00.000Z,UCwIK0X4qEXPz3kBid25Vbow,97,97,51,1,5,,,415.15,132.38,44.29324448529412,708.6919117647059,3108,0.15444015444015444,0.0
Spike Folf,@spikefolf,Aviation & Air Travel,"['Commercial Airline Flight Reviews', 'Military Aviation']",Hobby,0.949999988079071,2200,93425.05,1868501,20,,US,en,True,short,True,2020-08-10T02:23:43Z,2026-08-02T00:00:00.000Z,UCpQodoQtiC7wu4ZrPiB4qIw,163,383,106.5,1,2,4331,1509943,131.34,427.49,42.46593181818182,849.3186363636364,2189,0.27409776153494747,0.0
BNCW NEWS,@bncwnews,Reaction Content,"['Cultural Commentary', 'American Culture', 'International Perspectives']",Food,0.949999988079071,1540,62844.77777777778,565603,9,,US,en,True,,True,2025-09-20T01:07:57Z,2026-08-06T00:00:00.000Z,UC0yaM-a6hVO5UGxnYTLCwMQ,1491.8333333333333,1361.3333333333333,,6,0,,,291.86,454.81,40.80829725829726,367.27467532467534,322,0.8385093167701864,0.0
FINZ PRODZ,@flock.football5,Sports Highlights & Analysis,"['American Football', 'Sports Video Edits', 'Basketball']",American football,0.949999988079071,6010,243006.63636363635,5346146,22,395.14,US,en,True,,True,2022-04-19T01:54:21Z,2026-08-05T00:00:00.000Z,UC5WP9sJ6hHB1pPXnWHBd7kQ,2183,2183,48.63636363636363,0,11,,,38.16,386.33,40.433716533050976,889.5417637271215,1572,0.41984732824427484,790.28
DACHU BGM,@dachubgm,Video Game Animation & Machinima,"['My Singing Monsters Fan Content', 'Character Crossover Animations', 'Surreal Horror Gaming Memes']",Film,0.8500000238418579,10100,396879.74358974356,15478310,39,,US,en,True,,True,2023-05-25T13:43:11Z,2026-08-05T00:00:00.000Z,UCPfAZzPKv5fs2sSnstuxwTg,,,30.444444444444443,0,27,,,390.29,197.8,39.295024117796395,1532.5059405940594,1171,0.9991460290350128,0.0
Mike Italian,@mikeitalian,Automotive,"['Classic Vehicles', 'Performance Cars']",Lifestyle (sociology),1,5970,230912.81132075473,12238379,53,180.88,US,en,True,long,False,2013-07-31T03:17:09Z,2026-07-12T00:00:00.000Z,UC06O0dam5ydIOq8uszK1Ppg,,65,13,0,1,51664,36710,0.67,0.73,38.67886286779811,2049.9797319933,4756,0.3343145500420521,361.76
CFM Tools,@cfmtools,Everyday Carry Tools,"['Multitool Reviews', 'Tool Design', 'EDC Accessories', 'Custom Tool Modifications']",Hobby,0.949999988079071,1130,42679.2,1280376,30,,US,en,True,,True,2022-07-21T06:15:39Z,2026-08-06T00:00:00.000Z,UC3O9WmVXUxVnCfQsu6FWFlA,330,315.14285714285717,20.125,7,8,,,370.83,353.58,37.769203539823,1133.0761061946903,1479,0.6085192697768763,0.0
Zyrone Frames,@zyroneframes,Movie Clips,"['Emotional Scenes', 'Movie Edits', 'Romantic Clips', 'Indian Cinema']",Entertainment,0.949999988079071,2470,93264.53488372093,4010375,43,,GB,en,True,,True,2025-12-25T20:37:15Z,2026-08-06T00:00:00.000Z,UCikMiK-8_pcnSewWcXVWEKg,,,42.06666666666667,0,15,,,287.15,490.71,37.75892100555503,1623.6336032388665,225,5.733333333333333,0.0
二戰編年史,@二戰編年史,Military History & Narratives,"['World War II History', 'Military Tactics & Warfare', 'Anime & Manga']",Entertainment,0.8500000238418579,1690,63218.14035087719,3603434,57,,US,"zh, ja",True,,True,2025-10-13T04:44:31Z,2026-08-05T00:00:00.000Z,UCgwzDmLOZuMJWTJPMEGK1hQ,,1648.6774193548388,57.89473684210526,0,19,,,31.01,449.94,37.4071836395723,2132.2094674556215,299,5.719063545150502,0.0
Скроллинг,@scrolling_on,History,"['Curiosity Facts', 'General Knowledge', 'Human Interest Stories', 'Lifestyle Trivia']",Society,0.8999999761581421,12000,443484.42553191487,125062608,282,692.54,US,ru,True,,True,2007-08-24T11:06:12Z,2026-08-04T00:00:00.000Z,UCBJCFQQB18iW57AfEDcjXkg,,,7.35064935064935,0,77,,,8.11,23.42,36.957035460992905,10421.884,6924,1.2218370883882148,566.8022411347517
Novamida,@novamida4u,Comedy,"['Funny Compilations', 'Fail Compilations', 'Viral Moments']",Entertainment,0.949999988079071,25400,935550.4375,14968807,16,666.27,US,en,True,,True,2025-03-30T12:25:40Z,2026-08-06T00:00:00.000Z,UCZK2NbqaBJR5xSH0BeNTscw,,,16.7,0,20,,,400.99,254.17,36.83269438976378,589.3231102362205,496,0.9677419354838709,688.479
Kleyron,@kleyron,Roblox Gameplay,"['Roblox Horror', 'Roblox Obby', 'Roblox Roleplay']",Casual game,0.949999988079071,2630,92381.31034482758,2679058,29,,US,en,True,,True,2021-03-05T10:00:31Z,2026-08-05T00:00:00.000Z,UCSTKjx46EPBQc86jppuC-9Q,461.75,498.6,22,4,6,,,436.73,497.73,35.12597351514356,1018.6532319391634,1982,0.4389505549949546,0.0
JogoGoalitos,@jogogoalitos,Football,"['Football Highlights', 'Football Skills', 'Funny Football Moments']",Sports game,0.949999988079071,4000,136395.75438596492,7774558,57,,US,en,True,,True,2014-01-28T15:02:14Z,2026-08-06T00:00:00.000Z,UC-vUoCn1MSbBEKVXc4aRRGQ,,,21.4375,0,48,,,363.5,483.6,34.09893859649123,1943.6395,4575,0.3737704918032787,0.0
Heart Side,@heartsidetv,Dashcam Compilations,"['Road Rage Compilations', 'Close Call Compilations', 'Bad Drivers Compilations']",Entertainment,0.3000000119209289,5840,197826.4423076923,10286975,52,278.34,US,en,True,,True,2012-03-05T17:55:47Z,2026-07-28T00:00:00.000Z,UC7OJV_3lrUtT8GXi5pACGiA,,,17.38888888888889,0,18,,,271.97,407.36,33.8743908061117,1761.4683219178082,5268,0.29612756264236906,556.68
Uzbek Music Lyrics,@uzbek_music_lyrics,Music Lyrics,"['Uzbek Music', 'Pop Music']",Music,0.949999988079071,12000,405240.13333333336,18235806,45,1945.8,US,"en, uz",True,long,True,2024-07-17T17:29:00Z,2026-07-25T00:00:00.000Z,UCmFUkVurliuyqXdk2Vq7jbg,211,197.59375,14,1,0,3609398,627,14.29,24.68,33.77001111111111,1519.6505,751,1.7976031957390146,1082.4413333333334
ScreenInsight,@tranloan3439,TV Show Clips,['Modern Family Clips'],Humour,0.8999999761581421,25000,843636.4639175257,163665474,194,3093.82,US,en,True,,True,2016-10-30T01:53:53Z,2026-08-06T00:00:00.000Z,UC0ldvoXB9PIAgVv78sWkLwQ,80,80,109.48275862068965,0,29,,,39.66,59.25,33.74545855670103,6546.61896,3569,1.630708882039787,1897.2239828178695
Velmira,@velmira-y7z,Chillpop & R&B Music,"['Lofi Music & Playlists', 'Sad Love Songs', 'Music Lyric Videos']",Soul music,0.8500000238418579,4120,136455.96739130435,12553949,92,,US,en,True,,True,2025-12-07T18:06:30Z,2026-08-05T00:00:00.000Z,UCgoYwQcB1Ng0ijQqAgevr2g,1234.25,1679,25,8,16,,,167.53,452.98,33.12038043478261,3047.075,243,11.358024691358025,0.0
FastCurious,@fastcurious-l2x,Athletic Stunts & Skill Challenges,"['Extreme Sports & Stunts', 'Viral Talent Comparisons', 'Competitive Skill Demonstrations']",Entertainment,0.949999988079071,25800,837575,23452100,28,809.39,US,en,True,,True,2020-07-12T21:15:40Z,2026-07-28T00:00:00.000Z,UC1sQlBRF8fBO2Se4par_MAw,,,57,0,3,,,263.89,331.16,32.46414728682171,908.9961240310078,2217,0.37889039242219213,1618.78
Lorem TV,@lorem_tv22,History,"['Military History', '20th Century History']",Entertainment,0.8999999761581421,54300,1737872.9263157896,495293784,285,11213.06,US,en,True,,True,2020-09-14T12:38:20Z,2026-08-06T00:00:00.000Z,UChM_EGeGbBbt1uZ0onpMQTQ,,180,10.862559241706162,0,211,,,208.52,302.64,32.005026267325775,9121.432486187845,2154,3.969359331476323,2824.9042385964913
harviexplores,@harviexplores,Travel,"['Travel Inspiration', 'Luxury Travel', 'Beach Destinations']",Entertainment,0.8999999761581421,5080,162426.8923076923,10557748,65,227.93,GB,en,True,,True,2025-10-25T13:36:36Z,2026-08-04T00:00:00.000Z,UCqhKspaj8Dnz56ohPdp5Jnw,368,368,12.083333333333334,1,12,,,287.79,195.95,31.973797698364624,2078.296850393701,287,6.7944250871080145,33.54662051282051
adventre fun,@adventure_fails,Viral Comedy Content,"['Comedy Compilation', 'Viral Fail Clips', 'Internet Humor']",Vehicle,0.949999988079071,11400,360904.69696969696,11909855,33,312.73,US,en,True,,True,2023-01-04T18:56:58Z,2026-08-05T00:00:00.000Z,UCZ8uHtNDIcNiDLKmoJpBPtg,,,47.2,0,10,,,348.82,477.69,31.658306751727803,1044.7241228070175,1311,0.7551487414187642,414.1303333333334
Laugh Byte,@rajasheek2739,TV Show Clips,"['Two and a Half Men Clips', 'Sitcom Clips']",Television program,0.949999988079071,25000,788973.4,142015212,180,1214.52,US,en,True,,True,2017-07-20T21:54:09Z,2026-08-06T00:00:00.000Z,UCGZ5yT7rKC2xgUnXvmKTnCQ,,584.7,112.2,0,30,,,73.61,95.13,31.558936,5680.60848,3305,1.6338880484114977,743.3312222222222
Sir Suchi & Mochi,@sirsuchicatt,Pet Lifestyle,"['Ragdoll Cats', 'Cat Care & Health', 'Humorous Cat Content']",Entertainment,0.9800000190734864,2990,92863.36440677966,10957877,118,,GB,en,True,short,False,2025-06-03T12:38:56Z,2026-07-24T00:00:00.000Z,UCIJlch3BgDQOEFSKnaSngDQ,,,10.5,0,2,0,926932,9.52,9.24,31.057981406949718,3664.841806020067,431,8.213457076566126,0.0
StreamBen,@streambenn,Streamer Commentary,"['Internet Culture', 'Streamer Highlights', 'Social Commentary']",Sport,0.949999988079071,41100,1273501.3793103448,36931540,29,2246.43,US,en,True,short,True,2023-07-26T10:29:31Z,2026-08-04T00:00:00.000Z,UCjKC8RmWQwtYRESH4C5PL_g,,,43.5,0,12,61612,24524157,280.56,199.14,30.98543501971642,898.5776155717762,1109,0.7844905320108205,2863.552724137931
Mr. Drunk,@mrdrunky,Minecraft Mod Showcase,"['Minecraft Mods', 'Gaming']",Role-playing video game,0.949999988079071,1230,38043.7037037037,1027180,27,,GB,en,True,,True,2020-06-09T15:14:19Z,2026-07-29T00:00:00.000Z,UCbDxtnDto7gcO3LP2XOqWRg,,,24.842105263157894,0,19,,,432.47,338.92,30.929840409515204,835.1056910569106,2251,0.3598400710795202,0.0
Shorts Mix UZ,@shortsmixuz,Automotive Maintenance,"['Electrical Repair', 'Automobile Repair']",Vehicle,0.8500000238418579,2880,88086.78048780488,7223116,82,,US,uz,True,,False,2025-06-01T06:22:19Z,2026-08-03T00:00:00.000Z,UCgn3-Z9zhF8aQsDqbmPEaCQ,160,160,16.428571428571427,1,7,,,267.74,478.55,30.585687669376693,2508.026388888889,433,5.681293302540416,0.0
FlickEsmay88,@siurftum3258,Entertainment,['Rugby Highlights'],Sport,0.8999999761581421,1510,46113.71428571428,1613980,35,,US,en,True,,True,2019-12-24T08:35:33Z,2026-08-05T00:00:00.000Z,UCHliNvVtRt2ryzF4GmeFfJQ,,,35.12,0,25,,,357.58,383.2,30.538883632923365,1068.8609271523178,2419,0.434063662670525,0.0
Crafty Farmer ,@crafty_farmer,Gardening Tools,"['DIY Gardening Tools', 'Hand Tools', 'Transplanting Techniques', 'Garden Maintenance', 'Soil Management']",Knowledge,0.949999988079071,1290,38668.36603773585,10247117,265,,US,en,True,,True,2023-05-02T05:28:33Z,2026-08-05T00:00:00.000Z,UCOEohn5QErvuwCeA-VlG5NQ,,,6.166666666666667,0,30,,,262.36,493.73,29.97547754863244,7943.501550387597,1194,6.658291457286433,0.0
 Wren-2,@wren-2,Pop Culture Trend Commentary,"['Viral Social Media Trends', 'Entertainment Rankings', 'Challenge & Trend Analysis']",Hobby,0.8500000238418579,9810,293735.23728813557,17330379,59,441.64,US,en,True,,True,2019-01-14T00:34:51Z,2026-08-06T00:00:00.000Z,UCg7L0GQvNpc3z98uUfHYd9A,,,34.266666666666666,0,30,,,307.05,414.03,29.942429896853778,1766.6033639143732,2763,0.6406080347448426,689.4075254237288
ViralDecoded,@viraldecoded4k,Viral Content Aggregation,"['Video Curation', 'Internet Trends', 'Viral Clips']",Lifestyle (sociology),0.949999988079071,2990,87136.31578947368,1655590,19,,PH,en,True,,False,2020-11-06T01:14:00Z,2026-07-10T00:00:00.000Z,UCpLj-tVQobp4pRwxca1LKeQ,,,14.5,0,2,,,-0.33,6.27,29.142580531596547,553.7090301003344,2101,0.27129938124702524,0.0
nilloc,@nilloc_,CS:GO/CS2 Content,"['CS:GO/CS2 Esports', 'CS:GO/CS2 Skins & Economy', 'CS:GO/CS2 Gameplay & Culture']",Action game,0.949999988079071,49800,1355387.4140969163,307672943,227,2740.52,US,en,True,short,True,2024-04-02T16:33:08Z,2026-08-05T00:00:00.000Z,UCtfXfflsLnwWreJN4KZh7ww,671,692.75,30.76923076923077,2,13,48086,31510804,11.41,11.43,27.216614740901935,6178.171546184739,857,7.9463243873979,344.8789486049926
Level RUN,@levelrun-j9s,Interactive Fitness,"['Home Workouts', 'Active Gaming', 'Brain Breaks']",Casual game,0.949999988079071,1130,30366.5,485864,16,,US,en,True,,True,2015-03-27T13:26:24Z,2026-08-06T00:00:00.000Z,UCNGVCa2_Yl8zS7YEnfQVtOA,673,582,,6,0,,,380.85,300.05,26.87300884955752,429.96814159292035,4152,0.11560693641618497,0.0
FlashRanks,@flash_ranks,Top Lists & Rankings,"['Pop Culture', 'Internet Trends', 'Sports']",Pop music,0.8999999761581421,50000,1331520.268292683,54592331,41,18.11,AU,en,True,,False,2025-11-25T23:49:32Z,2026-07-31T00:00:00.000Z,UCJX0xWpP3-vt9tO6azCRKlA,,,79.33333333333333,0,3,,,2.25,3.13,26.630405365853658,1091.84662,255,4.823529411764706,3.754512195121951
쇼츠도너츠,@쇼츠도너츠,Music,"['Comedy', 'Music Curation']",Food,0.8999999761581421,2050,53024.28125,3393554,64,,KR,"ko, en, ja",True,,True,2025-11-22T05:36:08Z,2026-08-06T00:00:00.000Z,UCmc2V_NCTVvv4RA9N9OlNZQ,215,5920.875,27.676470588235293,0,34,,,60.16,497.46,25.86550304878049,1655.3921951219513,259,7.413127413127413,0.0
PPT,@ppt-n4y,Animals,"['Animal Rescues', 'Cute/Funny Animal Moments']",Lifestyle (sociology),0.9800000190734864,199000,5032428.684210527,95616145,19,277.24,US,en,True,short,True,2025-07-19T09:14:16Z,2026-08-06T00:00:00.000Z,UCKhioxZVSHH-CDtJM_gb3lA,177,579,141,0,12,0,0,4.74,110.24,25.28858635281672,480.48314070351756,385,1.4805194805194803,187.2585964912281
Ritim 34,@ritim34,Music,"['Music Covers', 'Deep House Music', 'Turkish Pop Music']",Electronic music,0.949999988079071,5980,144422.0243902439,5921303,41,244.84,US,"tr, en",True,,True,2024-10-13T11:35:23Z,2026-08-06T00:00:00.000Z,UC61bKMDtLGa8S2e7iJ97HWg,229.63636363636363,2284.3947368421054,,11,0,,,14.78,17.53,24.15084019903744,990.1844481605351,664,1.8524096385542168,132.17378861788617
Workflo Ai,@workfloai,Home Interior Renovation,"['Epoxy Flooring Projects', 'Luxury Home Makeovers', 'DIY Home Improvement']",Hobby,0.949999988079071,8640,199937.98529411765,13595783,68,,US,en,True,,True,2021-09-23T04:14:31Z,2026-08-05T00:00:00.000Z,UCofzOJdqrOYNp_jE5T6AT8A,,,17.22222222222222,0,27,,,278.95,413.14,23.140970520152507,1573.5859953703705,1780,1.146067415730337,0.0
The Crashing Games,@thecrashinggames,Gaming,"['Sports Video Games', 'Gaming News & Updates', 'Game Comparisons & Reviews']",Sports game,0.949999988079071,2330,53756.666666666664,4354290,81,,US,en,True,mixed,True,2024-11-09T17:35:07Z,2026-08-02T00:00:00.000Z,UCol4d5Zy0C6cKV6vkbjF75w,263.5,232.19148936170214,32.75,4,4,25723,3576273,8.37,478.8,23.071530758226036,1868.793991416309,636,3.8207547169811322,0.0
Vineyardedge,@vineyardedge,Bass Guitar,"['Bass Covers', 'Music Collaboration']",Lifestyle (sociology),0.8500000238418579,6000,136381.63636363635,3000396,22,1.46,US,en,True,,False,2005-12-30T22:20:45Z,2026-08-05T00:00:00.000Z,UC0ebrxXgSzWM2FcH7xWOmIA,,,11.444444444444445,0,9,,,0.67,0.59,22.730272727272727,500.066,7525,0.08770764119601329,2.92
The Osteon,@theosteon,Geopolitics Education,"['Geography', 'World History', 'International Relations', 'Educational Animation']",Politics,0.949999988079071,1030,23064.23076923077,899505,39,,US,en,True,,False,2026-01-29T09:26:11Z,2026-08-05T00:00:00.000Z,UCRDPnodKl274dLD_YsxOxKQ,,,38.41379310344828,0,29,,,117.39,494.57,22.392457057505602,873.3058252427185,191,6.125654450261781,0.0
xojoyce,@xojoyce,K-Pop,"['K-Pop Fan Content', 'K-Pop Quizzes', 'K-Pop Challenges']",Music of Asia,0.949999988079071,2990,66097.1744966443,9848479,149,,US,en,True,short,False,2025-02-03T21:06:40Z,2026-07-19T00:00:00.000Z,UCoKWMHtvFT66ov95IphmYAg,,,10,0,4,23,197012,2.4,2.04,22.106078426971337,3293.805685618729,550,8.127272727272727,0.0
DriftingWake,@driftingwake,Automotive Entertainment,"['Car Culture', 'POV Content', 'Motorsport', 'Automotive Edits']",Lifestyle (sociology),0.8999999761581421,1570,34376.82692307692,1787595,52,,US,en,True,,True,2024-07-25T20:33:49Z,2026-08-03T00:00:00.000Z,UC93uDPIL3QIzBSwXYsS4CgQ,,,14.291666666666666,0,24,,,227.77,471.84,21.89606810387065,1138.595541401274,743,2.0995962314939436,0.0
CraftShooter,@craftshooterr,Gaming,"['Minecraft', 'Mobile Gaming', 'Pixel Art']",Video game culture,0.949999988079071,5980,129920.47916666667,6236183,48,17.67,US,en,True,,True,2025-10-21T16:39:43Z,2026-08-02T00:00:00.000Z,UCsizZbhVvzyTEGNaD-iTc7g,,,17,0,6,,,8.93,11.25,21.725832636566334,1042.839966555184,290,4.9655172413793105,3.5585416666666667
BeckFooty,@beckfooty,Football,"['Football Edits', 'Football Compilations', 'Football Funny Moments']",Association football,1,141000,3060477.7027027025,113237675,37,2100.82,US,en,True,,True,2024-04-04T12:42:41Z,2026-07-15T00:00:00.000Z,UC7vFxpVIL6HbokkQViGWSRA,,,33.15384615384615,0,13,,,117.26,131.44,21.70551562200498,803.1040780141844,856,1.2967289719626167,1620.09181981982
Breakfast mood,@breakfast_mood,Cooking,"['Breakfast Recipes', 'Quick Meals', 'Egg Dishes']",Lifestyle (sociology),1,2520,54009.73333333333,810146,15,,US,en,True,,True,2025-12-07T13:47:30Z,2026-07-27T00:00:00.000Z,UCG7JZneUnMtmofu-F9vV-oQ,343.75,277.06666666666666,,4,0,,,181.56,424.55,21.43243386243386,321.48650793650796,244,1.8442622950819674,0.0
speedzvilla,@speedzvilla,Creator Fan Content,"['Influencer Clips & Highlights', 'Internet Culture', 'IShowSpeed']",Entertainment,0.949999988079071,2360,50452.42105263158,958596,19,,US,en,True,,True,2020-08-12T16:00:13Z,2026-08-04T00:00:00.000Z,UCW9U5rv2l7IdIVodxx2cpaA,,,30.6,0,20,,,78.79,423.59,21.37814451382694,406.1847457627119,2186,0.26075022872827086,0.0
Patrol Pro,@patrolpros,Police Footage Analysis,"['Bodycam Analysis', 'Law Enforcement Encounters', 'Incident Escalation']",Knowledge,0.9800000190734864,10700,228595.36363636365,2514549,11,11696.94,US,en,True,,True,2026-01-15T09:01:09Z,2026-07-30T00:00:00.000Z,UC31vOBMikNGPEx6WFGfUQzg,1140.6666666666667,1096.6153846153845,,3,0,,,124.32,369.54,21.364052676295668,235.00457943925232,205,1.6097560975609757,7266.280909090909
The Silliest Ranker,@1sillyranker,Entertainment,"['Animal Compilation', 'Listicle', 'Reaction']",Humour,0.8999999761581421,1150,24329.17021276596,1143471,47,,US,en,True,,True,2019-01-17T14:46:07Z,2026-08-03T00:00:00.000Z,UCciZ5a8BuQhticZunw7X6HQ,,,43.27272727272727,0,22,,,466.5,327.07,21.155800185013877,994.3226086956522,2760,0.5108695652173914,0.0
Uncle Marz,@unclemarz,Film & TV Content,"['TV/Movie Edits', 'Pop Culture Compilations']",Film,0.8999999761581421,42000,883978.5,79558065,90,3019.95,US,en,True,,True,2024-06-09T11:17:24Z,2026-08-06T00:00:00.000Z,UCtZx_r45TKdQflsCb8DVeig,,,59.116279069767444,0,43,,,66.01,314.1,21.047107142857143,1894.2396428571428,790,3.4177215189873418,883.6149999999999
Mr Top Minecraft,@mrtopminecraft,Minecraft Entertainment,"['Minecraft Challenges', 'Minecraft Quizzes', 'Gaming Comedy']",Role-playing video game,0.949999988079071,299000,6269678.555555556,225708428,36,63.87,US,en,True,,False,2019-03-09T16:44:26Z,2026-07-16T00:00:00.000Z,UCbHFRBgRZXc8XUq8iIFVs8w,345,489,27.22222222222222,0,9,,,0,1.85,20.968824600520254,754.8776856187291,2708,0.39881831610044316,127.74
Flick Talk,@flicktalk8,Film Recaps,"['Movie Recaps', 'TV Show Recaps', 'Story Breakdowns']",Film,1,12000,250266.01351351352,18519685,74,145.44,US,en,True,,True,2025-09-08T15:40:52Z,2026-08-06T00:00:00.000Z,UC2p7NYyOHwvPv4hzqo9zTMQ,134,167,144.125,0,24,,,56.25,81.1,20.855501126126125,1543.3070833333334,333,6.666666666666667,21.816
