market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
parenting,general,THIN,,0,0,The Economics of Owning a Trampoline Park: Why 80% of Owners Are Out Within 3 Years, Market Mindset  ,0,2026-08-10,1,1,23.4,0,US,the economics of owning a
relationships,general,THIN,,0,0,The Economics of Owning A Pet Store,Mr. Finance,58900,2026-08-10,1,1,21.9,1,US,the economics of owning a
self-improvement,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
travel,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
food & cooking,general,TAKEN,1.24,15129,194144,The Economics of Owning a McDonald's Franchise,Millionaire Problems,27800,2026-08-10,13,13,21.4,11,US,the economics of owning a
fashion & beauty,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
home & DIY,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
cars & automotive,general,TAKEN,0.94,55254,89918,The Economics of Owning a Car Dealership,Mr. Finance,58900,2026-08-10,4,4,20.4,3,US,the economics of owning a
pets,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
gardening,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
gaming,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
sports,general,THIN,0.67,2,2,The Economics of Owning a Football Club,mr Business Economics,3,2026-08-10,1,1,14.8,1,US,the economics of owning a
football (soccer),general,TAKEN,14.83,31887,63772,The Economics of Owning A Soccer Team,Money Pit,2200,2026-08-10,4,4,15.65,2,US,the economics of owning a
basketball,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
movies & TV,general,TAKEN,0.92,54398,54398,The Economics of Owning a Cinema,Mr. Finance,58900,2026-07-09,1,1,36.0,1,US,the economics of owning a
music,general,TAKEN,1.52,42283,42283,The Economics of Owning a Cemetery,Millionaire Problems,27800,2026-05-18,1,1,10.1,1,US,the economics of owning a
anime,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
celebrity,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
comics & superheroes,general,FREE,,0,0,,,,,0,102,0,0,US,the economics of owning a
