market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
fashion & beauty,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
home & DIY,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
cars & automotive,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
pets,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
gardening,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
gaming,general,THIN,0.48,303,303,I analyzed every Iceberg video so you don't have to,JuliusEXP,625,2026-07-29,1,1,11.5,1,US,I analyzed all so you don't have to
sports,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
football (soccer),general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
basketball,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
movies & TV,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
music,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
anime,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
celebrity,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
comics & superheroes,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
