channelTitle,handle,niche,subNiches,mainCategory,nicheConfidence,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,languages,isFaceless,channelType,breakoutChannel,publishedAt,lastVideoPublished,channelId,longAvgDuration30d,longAvgDuration1y,shortAvgDuration30d,longVideoCount30d,shortVideoCount30d,longViewCount30d,shortViewCount30d,subsGrowth30d,viewsGrowth30d,_per_video,_lifetime,_age_days,_vids_per_mo,_usd_per_video
Josuécito🙊,@jesus_is_king-v8k,Gaming,"['Roblox Gaming', 'Backrooms']",Lifestyle (sociology),0.949999988079071,6000,497052.875,3976423,8,0.01,,en,,,False,2024-02-12T23:12:29Z,2026-07-11T00:00:00.000Z,UCmK4U_vOJkFugjxaB89qj4w,95.2,95.2,3,0,1,,,-0.83,0,82.84214583333333,662.7371666666667,907,0.2646085997794928,0.02
Top-Ranks,@top-ranks-69,Video Compilations,"['Viral Content', 'Entertainment Rankings']",Entertainment,0.8999999761581421,12000,875538.96875,28017247,32,0.61,,en,,,False,2024-09-26T12:16:38Z,2026-07-29T00:00:00.000Z,UCYe_k3OlhQS_-awp1a5TYeA,,,22.333333333333332,0,3,,,0,0.31,72.96158072916667,2334.7705833333334,681,1.4096916299559472,0.43271875
너네 아이돌이야,@youridol-g8w,Fan Content,"['K-Pop', 'Idol Fandom', 'RESCENE']",Entertainment,0.949999988079071,6330,427286.5131578947,32473775,76,544.71,KR,ko,,,True,2025-10-19T07:57:14Z,2026-08-07T00:00:00.000Z,UChtwrIje7GL-kXrATc3golg,,5591.5,25.442622950819672,0,61,,,55.53,493.04,67.50181882431197,5130.138230647709,293,7.781569965870307,70.00001315789474
𝐌? ,@mikaxedits,Relatable Comedy & Lifestyle,"['Personal Vlogs', 'Social Commentary', 'Everyday Humor']",Entertainment,0.449999988079071,3370,214635.5,6009794,28,,,hi,,,True,2017-11-13T03:05:08Z,2026-08-05T00:00:00.000Z,UCRYQYKOaiscTCu5qVhNpKQQ,,,11.84,0,25,,,147.79,497.83,63.690059347181005,1783.3216617210683,3190,0.26332288401253917,0.0
Nerdy Astro,@nerdyastro,Curiosity & Facts,"['General Science', 'Natural World', 'Bizarre Trivia']",Society,0.8999999761581421,50000,3172167.8181818184,34893846,11,711.69,IN,en,,short,True,2025-06-30T08:22:54Z,2026-07-30T00:00:00.000Z,UC0v2AudfKeM7P7x1JwfRUQg,,,25.833333333333332,0,12,0,28957524,481.4,487.8,63.44335636363637,697.87692,404,0.8168316831683168,871.2810909090911
خنده آباد,@خندهاباد,Comedy,"['Celebrity News', 'Reaction', 'Entertainment Highlights']",Entertainment,0.8999999761581421,1360,84592.63157894737,1607260,19,,,fa,,,True,2025-11-14T09:12:28Z,2026-07-28T00:00:00.000Z,UCpQo2DmISYKhD5N67ksUDMg,95.5,77,46.875,0,8,,,483.69,343.94,62.200464396284836,1181.8088235294117,267,2.134831460674157,0.0
GrizzleShorts,@grizzleshorts,Nature & Wildlife,"['Animal Behavior', 'Wildlife Facts & Curiosities']",Lifestyle (sociology),0.949999988079071,3600,212255.41958041958,30352525,143,,,en,,,True,2025-06-19T01:25:51Z,2026-07-16T00:00:00.000Z,UCbWmK82u-Hc2aTth0mOtuNA,,,6.183333333333334,0,60,,,336.36,494.43,58.95983877233877,8431.256944444445,415,10.33734939759036,0.0
Fish For Fun,@allaboutfish-e5l,Aquarium Keeping,"['Fish Keeping', 'Aquascaping', 'Ornamental Fish']",Pet,0.949999988079071,2810,160516.02325581395,6902189,43,,VN,"vi, en",,,True,2011-10-16T09:51:19Z,2026-08-05T00:00:00.000Z,UCFN_ZWGXdqXsg_w4PXDgIyQ,,,17.333333333333332,0,30,,,274.67,498.44,57.12313994868824,2456.2950177935945,5410,0.23844731977818853,0.0
Moment Masters,@momentmasters-k5p,Remix Music,"['Celebrity Highlights', 'Music Remixes', 'Pop Culture Moments']",Electronic music,0.8999999761581421,3000,168222.64705882352,5719570,34,,US,"en, km",,,True,2025-10-10T07:13:14Z,2026-07-15T00:00:00.000Z,UCWu6AM1HxYZzl9tq_GpIVNQ,183,192.88333333333333,59.25,0,8,,,5.26,29.67,56.074215686274506,1906.5233333333333,302,3.377483443708609,0.0
The Cat Magic,@the_cat.magic.7,Domestic Cats,"['Cat Humor', 'Animal Behavior', 'Nasr']",Pet,0.800000011920929,4550,250101.2857142857,10504254,42,,IN,en,,,True,2018-05-24T16:15:53Z,2026-08-04T00:00:00.000Z,UCyI02N2zZ_uXN2RFvEgSV-w,,,6,0,36,,,120.87,494.48,54.96731554160125,2308.627252747253,2997,0.4204204204204204,0.0
art con amor,@art_con_amor,Animated Comedy,"['Doodle Animation', 'Relatable Humor', 'Relationship Humor']",Lifestyle (sociology),0.800000011920929,11600,627176,28222920,45,416.82,,"en, hi",,,True,2026-01-06T06:28:29Z,2026-08-05T00:00:00.000Z,UCPAaVG3eqxUv-g1GGQxG_UA,,,11,0,8,,,216.94,497.51,54.066896551724135,2433.0103448275863,214,6.308411214953271,66.0736888888889
TRIGER,@triger_brand,Sneaker Reviews,"['Sneaker Culture', 'Footwear Fashion', 'Style Tips']",Society,0.8999999761581421,10400,494473.875,3955791,8,29.28,,ru,,short,True,2022-12-15T13:43:24Z,2026-07-23T00:00:00.000Z,UCAQLg4SrcxW6JhN_LJHG5pg,,,41.5,0,4,6234,2110421,468.31,115.09,47.545564903846156,380.36451923076925,1332,0.1801801801801802,58.56
estudioLabodega,@estudiolabodega,Music Production,"['Recording Studio', 'Flamenco', 'Classical Music']",Music of Latin America,0.8999999761581421,3000,140770.42105263157,2674638,19,,ES,es,,,False,2010-05-13T12:43:49Z,2026-07-30T00:00:00.000Z,UCmxITaHLy0cP2Dx1A4SxUpQ,426.5,426.5,,2,0,,,0,0.09,46.92347368421053,891.546,5931,0.09610520991401113,0.0
Kocak Segar,@kocak_segar,Viral & Humor Clips,"['Prank Videos', 'Comedy Compilations']",Lifestyle (sociology),0.8999999761581421,3000,140471,4495072,32,,,id,,,True,2020-10-05T00:32:06Z,2026-07-21T00:00:00.000Z,UCe2FCimWP9Qtkmzsunj26kQ,69.33333333333333,69.33333333333333,77.4,0,5,,,47.78,83.53,46.82366666666667,1498.3573333333334,2133,0.45007032348804504,0.0
CoreMotivation,@coremotivationn,Inspirational Human Stories,"['Human Interest & Resilience', 'Emotional Personal Achievement', 'Motivational Storytelling']",Entertainment,0.949999988079071,3000,140002.67741935485,4340083,31,,US,en,,,True,2025-08-14T14:37:04Z,2026-07-23T00:00:00.000Z,UCU3GV9jQdDNHciBJB8LS4EA,,,30.727272727272727,0,11,,,73.41,77.4,46.66755913978495,1446.6943333333334,359,2.5905292479108635,0.0
Airon,@aironnpc,Gaming,['Roblox'],Role-playing video game,0.8999999761581421,5800,270490.55555555556,2434415,9,,RU,ru,,,False,2025-05-23T23:32:29Z,2026-08-06T00:00:00.000Z,UCMUrd9uYWTQdcz1sS2Rs2QA,,,41.111111111111114,0,9,,,491.67,174.42,46.63630268199234,419.72672413793106,441,0.6122448979591837,0.0
ליאל נחתום Liel Nahtom,@lielnahtom,Music,"['Original Music', 'Music Videos', 'Music Artist']",Music,1,12000,552469.4285714285,19336430,35,0,IL,he,,long,False,2013-02-09T19:48:10Z,2026-07-29T00:00:00.000Z,UCxfFv5rkXepzM5WFpOijFNQ,168,188.6153846153846,68,1,0,166887,666,0.84,0.87,46.039119047619046,1611.3691666666666,4927,0.21311142683174347,0.0
CineGupShup,@cine_gup_shup,Film & TV Reviews,"['Bollywood Film Reviews', 'Indian Web Series Reviews']",Entertainment,1,3000,135664.67857142858,11395833,84,,IN,"en, hi",,,False,2025-08-21T01:33:13Z,2026-07-30T00:00:00.000Z,UCrt2Nc1aEROao9eL_Y3izKQ,,187.35714285714286,114,0,1,,,0,0.02,45.221559523809525,3798.611,352,7.159090909090909,0.0
외국여행갤러리,@외국여행갤러리,Combat Sports Entertainment,"['Sparring Highlights', 'Internet Feuds', 'Street Fighting Culture']",Lifestyle (sociology),0.949999988079071,3150,140715.7685185185,15197303,108,,,ko,,,True,2022-08-09T18:40:50Z,2026-08-05T00:00:00.000Z,UCXVYWLjGCMIHb49b_8hiIsQ,106,354.5625,40.265625,0,64,,,227.44,493.31,44.671672545561435,4824.540634920635,1459,2.2206991089787524,0.0
지구촌핫클립,@지구촌핫클립,Gastronomy & Food Education,"['Viral Videos', 'Curiosities', 'Human Interest', 'General Knowledge']",,0.8999999761581421,4490,190631.35714285713,8006517,42,,KR,ko,,,True,2020-12-14T01:19:17Z,2026-08-06T00:00:00.000Z,UCt1aLv78fnIOuzPSJielbqA,,388.875,25,0,11,,,13.96,498.29,42.45687241489023,1783.1886414253897,2063,0.6107610276296656,0.0
MrMusicMr1,@mrmusicmr1,Comedy,"['Sketch Comedy', 'Short-form Comedy', 'Relatable Content']",Entertainment,0.8999999761581421,4650,195029.53333333333,5850886,30,,,"en, es, id, hi",,,True,2011-10-21T16:57:58Z,2026-08-04T00:00:00.000Z,UCHtnMn6NqQOwsvbhv0N8m4Q,117,117,94,1,18,,,496.15,369.41,41.94183512544803,1258.2550537634409,5404,0.16654330125832717,0.0
現代の粘土ハブ,@ピンキークレイハブ,Clay Art,"['DIY Crafts', 'Miniature Crafts', 'Clay Modeling']",Hobby,0.949999988079071,66600,2780537.092592593,150149003,54,4423.69,IN,"en, ja",,,True,2024-09-15T04:07:36Z,2026-08-06T00:00:00.000Z,UCByw-ZYIX75EovkAmQ8l4Fw,,,20.75,0,12,,,484.21,419.65,41.74980619508398,2254.4895345345344,692,2.341040462427746,1889.6256049382712
ReactBuzz,@reactbuzz12345,Comedy,"['Epic Fails', 'Humour', 'Short-Form Comedy']",Film,0.8999999761581421,6000,249287.36956521738,11467219,46,33.06,,en,,,True,2026-01-03T15:53:57Z,2026-07-10T00:00:00.000Z,UCRD4NBDdIbYS8osQ2EhORdg,,,12,0,1,,,26.58,29.56,41.54789492753623,1911.2031666666667,216,6.388888888888888,5.174608695652175
Pronator,@pronator-yt,Armwrestling,"['Armwrestling Analysis', 'Armwrestling News', 'Combat Sports', 'Strength Training']",Sport,1,1710,70543.42105263157,4020975,57,,HU,en,,,True,2025-04-26T15:31:00Z,2026-08-06T00:00:00.000Z,UCEg8ZBtpChkPvLrxvu6uuSw,,,34.74193548387097,0,31,,,199.47,496.74,41.25346260387811,2351.4473684210525,469,3.6460554371002134,0.0
Umbra Cortes,@umbra.cortes,Podcast Highlights,"['Celebrity Interviews', 'Social Commentary', 'Pop Culture Analysis']",Entertainment,0.949999988079071,5130,202140.17142857143,7074906,35,171.3,,pt,,,True,2025-10-19T03:13:18Z,2026-07-31T00:00:00.000Z,UCQ_1j1Pn7KdicAzPMVHSo3A,,,46.111111111111114,0,9,,,479.01,331.58,39.403542188805346,1379.1239766081871,293,3.5836177474402726,47.800857142857154
Improbabl,@improbabl,Funny Compilations,"['Pranks & Fails', 'Viral Moments']",Film,0.8999999761581421,6000,236381.46808510637,11109929,47,69.04,,en,,,True,2026-01-10T23:04:54Z,2026-08-02T00:00:00.000Z,UCUCsojY2unGeSSEUODJ77ug,,,21.733333333333334,0,15,,,42.52,51.01,39.39691134751773,1851.6548333333333,209,6.746411483253588,10.23358865248227
feerfee,@feerfee,Fan Content,"['BTS', 'Short-form Content', 'Music Fandom']",Music of Asia,0.949999988079071,46900,1824769.8617021276,171528367,94,1685.01,IN,"en, hi",,,True,2022-02-01T09:56:01Z,2026-08-06T00:00:00.000Z,UC5FtdGuu9qD-r8zloorEOXw,,,11.6,0,60,,,260.77,488.84,38.907672957401445,3657.321257995736,1649,1.7101273499090357,985.312585106383
Nexy Football ,@nexy_football,Football News,"['International Football', 'Football Commentary']",Sport,0.949999988079071,2370,91776.5294117647,1560201,17,,,en,,,True,2019-05-21T14:51:12Z,2026-08-06T00:00:00.000Z,UCgw76rtPjeLyP6JVCBu4eBw,,,29.633333333333333,0,30,,,500,410.46,38.72427401340283,658.3126582278481,2636,0.19347496206373294,0.0
千葉遼聖,@千葉遼聖,Comedy,"['Sketch Comedy', 'Observational Comedy', 'Japanese Comedy Commentary']",Film,0.8999999761581421,3000,115868.62295081967,7067986,61,,,ja,,,True,2024-12-08T11:24:24Z,2026-07-19T00:00:00.000Z,UCezebMLh5aeO-cpA9GZju7A,318,293.25,55,0,3,,,19.52,32.33,38.62287431693989,2355.9953333333333,608,3.009868421052632,0.0
Remix.lyrics.94,@remix.lyrics808,Hip-Hop Music,"['Music Remixes', 'Lyric Videos', 'Turkish Hip-Hop']",Music,0.949999988079071,3000,108868.13333333333,8165110,75,,,tr,,mixed,False,2023-12-05T16:48:30Z,2026-08-03T00:00:00.000Z,UCsGqw3fJm5XJCMUE_abzKYw,137.33333333333334,166.0625,28,3,0,94967,5062,4.17,1.24,36.28937777777778,2721.7033333333334,976,2.305327868852459,0.0
Granny World 3D,@jallinde,Gaming,"['Horror Game Mods', 'Funny Gameplay', '3D Animation']",Action-adventure game,0.949999988079071,1820,65256.76470588235,1109365,17,,US,en,,,True,2008-11-26T05:55:26Z,2026-08-05T00:00:00.000Z,UCUSJl5D3mHxI_eXSgZxHX_A,1061.2222222222222,759.5294117647059,,9,0,,,343.9,495.81,35.85536522301228,609.5412087912088,6464,0.07889851485148515,0.0
Kleyron,@kleyron,Roblox Gameplay,"['Roblox Horror', 'Roblox Obby', 'Roblox Roleplay']",Casual game,0.949999988079071,2630,92381.31034482758,2679058,29,,US,en,True,,True,2021-03-05T10:00:31Z,2026-08-05T00:00:00.000Z,UCSTKjx46EPBQc86jppuC-9Q,461.75,498.6,22,4,6,,,436.73,497.73,35.12597351514356,1018.6532319391634,1982,0.4389505549949546,0.0
Adiwasi Timli Shorts,@adiwasitimlishorts,Indian Folk Dance & Music,"['Timli Dance', 'Adivasi Culture']",Music of Asia,0.8999999761581421,233000,8172868.928571428,114420165,14,10.55,IN,"hi, gu",,,True,2025-02-25T13:18:46Z,2026-07-20T00:00:00.000Z,UCCTKSoU2pTJOokdcbvP3GKQ,,64,14.1,0,10,,,0,400.41,35.07669068056407,491.073669527897,529,0.7939508506616257,13.287976190476192
Моисеев Денис | Первая Помощь ,@rescue_rus,First Aid,"['Emergency Preparedness', 'Medical Education', 'Safety Training']",Entertainment,0.949999988079071,3810,130682.44444444444,3528426,27,,KZ,ru,,,True,2025-05-01T22:00:55Z,2026-08-02T00:00:00.000Z,UCAwsYlAj8H1lC0GXB7DGPnw,131,131,51,1,5,,,479.03,361.81,34.299854184893555,926.096062992126,463,1.7494600431965444,0.0
Vu Pham Van,@vuphamvan457,General Entertainment,"['Basketball Highlights', 'Couples Content', 'Family Moments']",Basketball,0.8500000238418579,2040,64905.46428571428,1817353,28,,,en,,,False,2022-12-10T13:08:50Z,2026-08-05T00:00:00.000Z,UCr_Vrj9OLiMe1noNYO9sQ5w,,,58.666666666666664,0,9,,,500,326.85,31.81640406162465,890.8593137254902,1337,0.6282722513089005,0.0
Kể Chuyện Mỗi Ngày,@kechuyenmoingay75,Storytelling,"['Moral Stories', 'Family Dramas', 'Life Lessons']",Religion,0.949999988079071,12000,376030,376033,0,,VN,vi,,,True,2025-06-27T15:24:23Z,2026-07-29T00:00:00.000Z,UCMhvufxQqMd5GG1AxoiZFzA,8526.525,6680.725274725275,88.5,40,0,,,14.29,-84.35,31.335833333333333,31.336083333333335,407,0.0,
Brother Daniel,@batdannie,Video Game Commentary,"['Gaming History', 'Music Commentary', 'Pop Culture Commentary']",Pop music,0.8999999761581421,3000,93957.15094339622,4979729,53,,AU,en,False,,False,2021-09-26T11:03:13Z,2026-07-20T00:00:00.000Z,UCXeNCCy1ohik9bkBxuS4Faw,147.5,504.75,28.75,2,4,,,3.09,5.64,31.319050314465407,1659.9096666666667,1777,0.8947664603263927,0.0
Dudi King Rhymes,@dudikingrhymes,Kids Entertainment,"['Nursery Rhymes', 'Kids Dance Videos', 'Hindu Devotional Music', 'Bhajans', 'Mantras']",Pop music,0.8999999761581421,16900,513695.52777777775,18493039,36,9469.96,,"en, hi",,long,True,2024-04-02T07:06:35Z,2026-08-06T00:00:00.000Z,UC2U6nqEp21l8MM6e5aw4wIw,311.4375,353.8888888888889,,32,0,15386295,0,69,495.25,30.39618507560815,1094.2626627218935,858,1.2587412587412588,7523.3571111111105
Hindi Story Hub,@hindistoryhubtv,Storytelling,"['Moral Stories', 'Dramatic Stories', 'Hindi Stories']",Television program,0.949999988079071,20800,628727.6363636364,6916004,11,1767.71,IN,hi,,,True,2025-11-12T09:22:21Z,2026-08-05T00:00:00.000Z,UCCN95RlkYEfZrFYuoLUbDDQ,1555.4285714285713,1367.2666666666667,,7,0,,,366.37,499.74,30.22729020979021,332.5001923076923,269,1.2267657992565055,1440.9514848484848
SUNNY,@td__sunny_143,Music,"['Short-form Music Content', 'Music Challenges']",Society,0.75,6580,198506.2,1985062,10,,,"es, en",,,True,2025-09-01T06:16:05Z,2026-08-05T00:00:00.000Z,UCuUfVErc54JYQgUn8d_z05A,166,166,46.8,2,10,,,498.18,362.43,30.168115501519758,301.6811550151976,341,0.8797653958944281,0.0
Crafty Farmer ,@crafty_farmer,Gardening Tools,"['DIY Gardening Tools', 'Hand Tools', 'Transplanting Techniques', 'Garden Maintenance', 'Soil Management']",Knowledge,0.949999988079071,1290,38668.36603773585,10247117,265,,US,en,True,,True,2023-05-02T05:28:33Z,2026-08-05T00:00:00.000Z,UCOEohn5QErvuwCeA-VlG5NQ,,,6.166666666666667,0,30,,,262.36,493.73,29.97547754863244,7943.501550387597,1194,6.658291457286433,0.0
Keighley ,@krugugara,Gaming,"['Roblox', 'Comedy']",Entertainment,0.8500000238418579,1400,40588.04705882353,3449984,85,,,"ru, en",,,True,2023-03-22T20:22:56Z,2026-07-30T00:00:00.000Z,UCCA4sjB5eRqLSH_7YcGnJ8A,,,18.076923076923077,0,13,,,498.29,296.49,28.991462184873953,2464.2742857142857,1234,2.06645056726094,0.0
Jhenifer Araújo ,@jheniferpdaa,General Entertainment,['Short-Form Content'],Music,0.8500000238418579,45400,1230127.4285714286,8610892,7,,,"es, pt",,,True,2016-12-17T14:35:52Z,2026-07-21T00:00:00.000Z,UC2bm_flBQqJLM-sKqim3KyA,,,22,0,2,,,0,499.4,27.095317809943364,189.6672246696035,3521,0.05964214711729623,0.0
Future with AI,@futurewith_ai99,Music,"['Lofi Music', 'Relaxation Music', 'Study Music']",Entertainment,0.3000000119209289,1010,27282.947368421053,1036752,38,,US,"hi, en",,,True,2025-09-09T15:19:55Z,2026-08-05T00:00:00.000Z,UCPP-NwV4URg9BAyt0qdqkAw,,505.3333333333333,22.75,0,12,,,490.64,442.65,27.01281917665451,1026.4871287128713,333,3.4234234234234235,0.0
ZIMA Films,@zimafilms3346,Filmmaking,['Music Videos'],Film,0.8999999761581421,300000,8013760.115384615,208357763,26,896.34,US,en,,long,False,2017-09-19T04:04:15Z,2026-08-02T00:00:00.000Z,UCgEX7uGI4sK0w7YryRbeKcA,135,141,10.428571428571429,0,7,346490,11531,0,0.17,26.712533717948716,694.5258766666667,3245,0.24036979969183359,1792.68
Rinki Yadav,@natkhatclasses,School Life Comedy Sketches,"['School Nostalgia & Memories', 'Student Life Humor', 'Friendship & Classroom Dynamics']",Entertainment,0.949999988079071,30600,810709.2739726028,59181777,73,2642.15,,hi,,,True,2025-02-13T09:43:44Z,2026-08-05T00:00:00.000Z,UCcduc8RP5oU2Xn8K1exOwZQ,,,26.333333333333332,0,27,,,445.45,460.33,26.49376712328767,1934.045,541,4.048059149722735,652.6955022831052
 different challenges 💪👀,@dinuu-t2w,Relationship Content,"['Love Stories', 'Couple Videos', 'Relationship Challenges']",Music,0.800000011920929,3000,79387.81481481482,2143471,27,,,"si, en",,,False,2025-02-07T13:11:35Z,2026-07-15T00:00:00.000Z,UCzZGKJto4D_YH2gZkpIGDjQ,109,194.5,12,0,1,,,0,-0.06,26.462604938271607,714.4903333333333,547,1.4808043875685557,0.0
TONY Family Fun,@tonyfamilyfun168,Storytelling,"['Fairy Tales', 'Khmer Stories']",Pet,0.800000011920929,3030,79574,875314,11,,US,"km, en",,,True,2025-07-30T09:47:02Z,2026-08-05T00:00:00.000Z,UC7X05wZBZWtRQlGOAiSaFQA,490.25,611.3333333333334,,12,0,,,62.03,499.12,26.26204620462046,288.8825082508251,374,0.8823529411764706,0.0
Crowd Roar,@crowd-roar,Football Commentary,"['Football World Cup Analysis', 'K-pop Concert Fancams']",Association football,0.949999988079071,27500,715152.08,17878802,25,,US,en,,,True,2025-12-10T21:33:50Z,2026-07-27T00:00:00.000Z,UC2gP9enXBbnokHEek-98eew,159,159,11.238095238095237,2,21,,,462.37,111.51,26.00553018181818,650.1382545454545,240,3.125,0.0
쇼츠도너츠,@쇼츠도너츠,Music,"['Comedy', 'Music Curation']",Food,0.8999999761581421,2050,53024.28125,3393554,64,,KR,"ko, en, ja",True,,True,2025-11-22T05:36:08Z,2026-08-06T00:00:00.000Z,UCmc2V_NCTVvv4RA9N9OlNZQ,215,5920.875,27.676470588235293,0,34,,,60.16,497.46,25.86550304878049,1655.3921951219513,259,7.413127413127413,0.0
RedArthur,@redarthur11,Rockstar Games Content,"['Red Dead Redemption 2', 'Grand Theft Auto V', 'Gaming Trivia', 'Gameplay Analysis']",Action game,0.949999988079071,1030,26564.525773195877,2576759,97,,IT,en,,,True,2021-03-07T11:47:18Z,2026-08-06T00:00:00.000Z,UC8Raq7_5XYhU3okONb9biXw,,,29.785714285714285,0,84,,,225.95,499.42,25.790801721549396,2501.7077669902915,1980,1.4696969696969697,0.0
COCOMELON RANDOM ,@cocomelonrandom,Video Editing Parody,"['Logo Edits', 'Animation Parody', 'Klasky Csupo Style', 'Digital Art']",Film,0.949999988079071,1150,28534.621951219513,2339839,82,,,"en, id",,,False,2022-10-14T07:27:36Z,2026-08-05T00:00:00.000Z,UCA4kz6UMZhNQG5dTWH4fchg,,,12.928571428571429,0,42,,,487.95,463.62,24.81271474019088,2034.6426086956521,1394,1.7647058823529411,0.0
TkayMaidzaVEVO,@tkaymaidzavevo,Music,"['Hip-Hop Music', 'Dance Music']",Electronic music,1,6000,144431.5294117647,2455336,17,91.78,,en,,long,False,2014-07-30T17:29:35Z,2026-07-15T00:00:00.000Z,UCrZsf2QFtPvRrpUH6EKhbpA,213,187,,1,0,101737,0,0,4.32,24.07192156862745,409.22266666666667,4391,0.11614666363015258,183.56
Lyrically edits,@lyrically7.35,Music Edits,"['Lyric Videos', 'Punjabi Music']",Entertainment,0.949999988079071,1230,29413.330275229357,3206053,109,,IN,"pa, en",,short,True,2023-08-17T07:44:52Z,2026-08-06T00:00:00.000Z,UChnwzdwBRY-kpZOiKJuDUWw,75,75,25.214285714285715,0,14,0,2669341,95.55,497.35,23.913276646527933,2606.5471544715447,1087,3.0082796688132474,0.0
🧊Ice KitBrawl,@kitbrawl-t6c,Animated Cartoon Content,"[""Children's Animation"", 'Barboskini', 'Mimimishki']",Film,0.8500000238418579,2470,58872.542372881355,3473480,59,,,ru,,,True,2024-06-19T17:44:18Z,2026-08-01T00:00:00.000Z,UCCAQ-EobV7yohNUQDThRBSA,142,142,21.5,1,2,,,112.93,498.9,23.835037397927675,1406.2672064777328,779,2.27214377406932,0.0
