anchor,n_videos,n_channels,contested,median_views,best_views,first_seen,last_seen,best_title,best_channel
california the american dream,1,1,False,1899053,1899053,2024-03-30,2024-03-30,California: the Decline of the American Dream,Best Documentary
joey b toonz on today s society,1,1,False,1879852,1879852,2022-09-25,2022-09-25,Joey B Toonz on the Decline of Today's Society,Joey B vs. the World Clips
richard wolff donald j trump and the united states,1,1,False,1712295,1712295,2025-02-09,2025-02-09,Richard Wolff: Donald J. Trump and the Decline of the United States,Robinson Erhardt
racing games,1,1,False,1681783,1681783,2023-01-18,2023-01-18,The Decline of Racing Games,Fastminer07
dell,1,1,False,1680088,1680088,2023-01-31,2023-01-31,The decline of Dell,Smart Nonsense
great american tool brand what happened to craftsman tools,1,1,False,1526948,1526948,2024-08-09,2024-08-09,The decline of a Great American Tool Brand: What Happened to Craftsman Tools,DIY with Dave
britain s failed hitler,1,1,False,1522978,1522978,2024-04-28,2024-04-28,The Decline of Britain's FAILED Hitler,JimmyTheGiant
richard wolff on the us empire and the denial of the us,1,1,False,1510316,1510316,2023-02-02,2023-02-02,Richard Wolff on the decline of the US empire and the denial of the US,Community Church of Boston
lalu won once on his own says prashant kishor on rjd,1,1,False,1447532,1447532,2025-06-27,2025-06-27,"""Lalu won once on his own...'' says Prashant Kishor on the decline of RJD",ANI Podcast with Smita Prakash Clips
fuddruckers what happened,1,1,False,1349891,1349891,2023-04-12,2023-04-12,The Decline of Fuddruckers...What Happened?,Company Man
diesel in india 🚗 cars24,1,1,False,1162621,1162621,2026-01-03,2026-01-03,The Decline of Diesel in India 🚗 #cars24,Cars24
quiznos,1,1,False,1141505,1141505,2023-03-22,2023-03-22,The decline of Quiznos,Smart Nonsense
"serfdom in the 14th century, wealth, freedom and the inquisition",1,1,False,1092174,1092174,2024-11-21,2024-11-21,"The decline of serfdom in the 14th century, wealth, freedom and the Inquisition",Film Lover
american men what happened,1,1,False,1083820,1083820,2023-05-02,2023-05-02,The Decline of American Men: What Happened?,Kite & Key Media
leonid brezhnev & the soviet union documentary,1,1,False,1063852,1063852,2024-01-14,2024-01-14,Leonid Brezhnev & The Decline of The Soviet Union Documentary,The People Profiles
హిందూ పండుగలు ఎందుకు ఇంతలా దిగజారిపోతున్నాయి hindu festival values figuring out,1,1,False,1021460,1021460,2025-10-24,2025-10-24,హిందూ పండుగలు ఎందుకు ఇంతలా దిగజారిపోతున్నాయి ? The Decline of Hindu Festival Values - Figuring Out,Figuring Out by Jay 
farms raises red flags,1,1,False,1011105,1011105,2024-04-18,2024-04-18,The Decline of Farms Raises Red Flags,Valuetainment
sega what happened,1,1,False,972012,972012,2022-09-21,2022-09-21,The Decline of Sega...What Happened?,Company Man
groupon what happened,1,1,False,895678,895678,2023-09-20,2023-09-20,The Decline of Groupon...What Happened?,Company Man
circuit city what happened,1,1,False,895345,895345,2022-12-21,2022-12-21,The Decline of Circuit City...What Happened?,Company Man
subway what happened,1,1,False,891684,891684,2023-12-20,2023-12-20,The Decline of Subway...What Happened?,Company Man
does this mean clone army buildling shorts starwars,1,1,False,825324,825324,2022-12-21,2022-12-21,Does this mean the decline of Clone Army Buildling? #shorts #starwars,danibobstudios
it s dire here from paradise to deprivation blackpool,1,1,False,789909,789909,2023-07-01,2023-07-01,"""It's Dire Here!"" - From Paradise to Deprivation: The Decline of Blackpool",TalkTV
harold macmillan on british power,1,1,False,770127,770127,2025-02-27,2025-02-27,Harold Macmillan on the Decline of British Power (1982),Frontline by ITN
macy s what happened,1,1,False,755490,755490,2022-11-23,2022-11-23,The Decline of Macy's...What Happened?,Company Man
7up what happened,1,1,False,749043,749043,2023-11-29,2023-11-29,The Decline of 7Up...What Happened?,Company Man
mainline churches in america,1,1,False,711926,711926,2023-05-06,2023-05-06,The Decline of Mainline Churches in America,Ready to Harvest
sprint what happened,1,1,False,668164,668164,2023-08-16,2023-08-16,The Decline of Sprint...What Happened?,Company Man
are we witnessing an empire discover the uncomfortable truth,1,1,False,643675,643675,2025-04-20,2025-04-20,Are we witnessing the decline of an empire? Discover the uncomfortable truth!,World At Crossroads
99 cents only stores what happened,1,1,False,628935,628935,2024-04-10,2024-04-10,The Decline of 99 Cents Only Stores...What Happened?,Company Man
friendly s ice cream what happened,1,1,False,620628,620628,2023-06-28,2023-06-28,The Decline of Friendly's Ice Cream...What Happened?,Company Man
tim miller vision boards the american empire,1,1,False,613299,613299,2025-05-14,2025-05-14,Tim Miller vision boards the decline of the American Empire,Hasan Minhaj
bill o reilly on howard stern,1,1,False,606958,606958,2026-07-21,2026-07-21,Bill O'Reilly on the Decline of Howard Stern,Bill O'Reilly
men in america @whatever,1,1,False,568347,568347,2023-12-27,2023-12-27,The Decline Of Men In America @whatever,Brian Atlas
carvana what happened,1,1,False,562959,562959,2023-03-15,2023-03-15,The Decline of Carvana...What Happened?,Company Man
how female power caused the west,1,1,False,550101,550101,2026-01-04,2026-01-04,How Female Power Caused The Decline Of The West,Alexander Grace
royal navy,1,1,False,545208,545208,2025-07-01,2025-07-01,The Decline of the Royal Navy,Not What You Think
"msnbc why comcast is considering removing the network nsn november 20,",1,1,False,526387,526387,2024-11-21,2024-11-21,"The Decline of MSNBC: Why Comcast is Considering Removing the Network | NSN | November 20, 2024",Bill O'Reilly
old country buffet what happened,1,1,False,511131,511131,2024-06-12,2024-06-12,The Decline of Old Country Buffet...What Happened?,Company Man
dunzo what happened startup case study,1,1,False,508763,508763,2023-12-04,2023-12-04,The Decline of Dunzo!... What Happened? | Startup Case Study,Backstage with Millionaires
oneyplays moments that have contributed to my humour,1,1,False,504718,504718,2023-01-27,2023-01-27,Oneyplays Moments That Have Contributed To The Decline Of My Humour,ArcticEditsStuff
reasons behind the mughal empire medieval india upsc gs,1,1,False,500451,500451,2022-12-29,2022-12-29,Reasons behind the decline of the Mughal Empire | Medieval India | UPSC GS,StudyIQ IAS
red lobster what happened,1,1,False,497671,497671,2024-04-24,2024-04-24,The Decline of Red Lobster...What Happened?,Company Man
chief inspector dreyfus,1,1,False,496964,496964,2023-02-24,2023-02-24,The Decline of Chief Inspector Dreyfus,Jackaloopt
bed bath & beyond what happened,1,1,False,487697,487697,2023-02-08,2023-02-08,The Decline of Bed Bath & Beyond...What Happened?,Company Man
rainforest café what happened,1,1,False,455126,455126,2024-09-04,2024-09-04,The Decline of Rainforest Café...What Happened?,Company Man
tupperware what happened,1,1,False,445465,445465,2024-09-25,2024-09-25,The Decline of Tupperware...What Happened?,Company Man
"young men in today’s culture, with sen josh hawley and megyn kelly",1,1,False,445325,445325,2023-05-16,2023-05-16,"The Decline of Young Men in Today’s Culture, with Sen. Josh Hawley and Megyn Kelly",Megyn Kelly
elon musk regrets religion because of what it means for society,1,1,False,443956,443956,2024-10-11,2024-10-11,Elon Musk Regrets The Decline Of Religion Because Of What It Means For Society,Achieve Success
lean into the usa & iran trolls trump have i got news for you us,1,1,False,440885,440885,2026-03-29,2026-03-29,Lean Into The Decline of The USA? & Iran Trolls Trump! | Have I Got News for You US,Have I Got News For You US
tom bower meghan markle & prince harry has begun,1,1,False,439030,439030,2026-07-08,2026-07-08,Tom Bower: The Decline Of Meghan Markle & Prince Harry Has Begun,Kinsey Schofield Unfiltered
wcw what happened,1,1,False,436715,436715,2022-08-17,2022-08-17,The Decline of WCW...What Happened?,Company Man
tgi fridays what happened,1,1,False,429554,429554,2024-11-06,2024-11-06,The Decline of TGI Fridays...What Happened?,Company Man
wish what happened,1,1,False,424184,424184,2024-05-22,2024-05-22,The Decline of Wish...What Happened?,Company Man
godi media has begun 🔥 shorts genz protest katibrazavi youth,1,1,False,419765,419765,2026-06-20,2026-06-20,"""The decline of Godi Media has begun."" 🔥#shorts #genz #protest #katibrazavi #youth",Katib Razavi
‘it’s concerning’ douglas murray on the white british,1,1,False,419423,419423,2025-04-28,2025-04-28,‘It’s concerning’ Douglas Murray on the decline of the white British,GBNews
borders what happened,1,1,False,414350,414350,2023-05-24,2023-05-24,The Decline of Borders...What Happened?,Company Man
gopro what happened,1,1,False,413362,413362,2024-07-03,2024-07-03,The Decline of GoPro...What Happened?,Company Man
barnes & noble what happened,1,1,False,412013,412013,2024-02-07,2024-02-07,The Decline of Barnes & Noble...What Happened?,Company Man
कैसे खत्म हुआ अलाउद्दीन खिलजी का पूरा वंश khilji dynasty,1,1,False,411043,411043,2025-05-29,2025-05-29,कैसे खत्म हुआ अलाउद्दीन खिलजी का पूरा वंश ? | The Decline of Khilji Dynasty!,History Connect
ponderosa what happened,1,1,False,409879,409879,2024-03-27,2024-03-27,The Decline of Ponderosa...What Happened?,Company Man
why should america matter to non americans,1,1,False,399587,399587,2025-06-26,2025-06-26,Why should the decline of America matter to non-Americans?,Hasan Minhaj
trump’s orwellian maths and the ‘special relationship’,1,1,False,387853,387853,2026-04-28,2026-04-28,Trump’s Orwellian Maths and the Decline of the ‘Special Relationship’,The Rest Is Politics
joann what happened,1,1,False,384738,384738,2025-01-29,2025-01-29,The Decline of Joann...What Happened?,Company Man
hip hop how producers are the problem,1,1,False,381028,381028,2023-02-07,2023-02-07,The Decline of Hip Hop: How Producers Are The Problem,Navie D
victor davis hanson breaks down race relations in america,1,1,False,373969,373969,2026-07-05,2026-07-05,Victor Davis Hanson Breaks Down the Decline of Race Relations in America,The Daily Signal
trad wife ballerina farm & it’s consequences,1,1,False,370872,370872,2024-07-31,2024-07-31,The Decline of Trad Wife: Ballerina Farm & it’s Consequences,Drama Kween
krispy kreme what happened,1,1,False,365606,365606,2025-08-06,2025-08-06,The Decline of Krispy Kreme...What Happened?,Company Man
23andme what happened,1,1,False,363917,363917,2024-10-16,2024-10-16,The Decline of 23andMe...What Happened?,Company Man
hooters what happened,1,1,False,359461,359461,2025-04-23,2025-04-23,The Decline of Hooters...What Happened?,Company Man
party city what happened,1,1,False,354280,354280,2024-12-25,2024-12-25,The Decline of Party City...What Happened?,Company Man
beyond meat what happened,1,1,False,353702,353702,2025-04-02,2025-04-02,The Decline of Beyond Meat...What Happened?,Company Man
tower defense simulator what went wrong,1,1,False,340298,340298,2025-10-24,2025-10-24,The Decline of Tower Defense Simulator (What Went Wrong),Wistable
twitch has begun│ that will be 25 dollars please,1,1,False,337948,337948,2023-06-13,2023-06-13,The Decline of Twitch has begun│ that will be 25 dollars please,It'sAGundam
big lots what happened,1,1,False,335055,335055,2025-01-08,2025-01-08,The Decline of Big Lots...What Happened?,Company Man
rite aid what happened,1,1,False,323767,323767,2023-10-25,2023-10-25,The Decline of Rite Aid...What Happened?,Company Man
sizzler what happened,1,1,False,316835,316835,2024-07-24,2024-07-24,The Decline of Sizzler...What Happened?,Company Man
tech degrees has already begun,1,1,False,313732,313732,2025-06-04,2025-06-04,The Decline of Tech Degrees Has Already Begun.,Aevy TV
professor john j mearsheimer this house welcomes america,1,1,False,312078,312078,2024-11-10,2024-11-10,Professor John J. Mearsheimer | This House Welcomes The Decline of America,Cambridge Union
richard wolff the us empire,1,1,False,304703,304703,2025-04-20,2025-04-20,Richard Wolff: The Decline of the US Empire,Robinson Erhardt
"chris hedges on trump, epstein and american democracy upfront",1,1,False,304337,304337,2026-02-07,2026-02-07,"Chris Hedges on Trump, Epstein and the decline of American democracy | UpFront",Al Jazeera English
amir tsarfati an empire,1,1,False,294600,294600,2024-03-01,2024-03-01,Amir Tsarfati: The Decline of An Empire,Behold Israel with Amir Tsarfati
abandoned ayr a seaside town abandoned ayrshire,1,1,False,288030,288030,2023-12-05,2023-12-05,ABANDONED AYR - The Decline Of A Seaside Town #abandoned #ayrshire,Lore and Explore
american middle class endevr documentary,1,1,False,281411,281411,2024-09-21,2024-09-21,The Decline of the American Middle Class | ENDEVR Documentary,ENDEVR
qvc what happened,1,1,False,277596,277596,2026-02-25,2026-02-25,The Decline of QVC...What Happened?,Company Man
walgreens what happened,1,1,False,277006,277006,2025-02-19,2025-02-19,The Decline of Walgreens...What Happened?,Company Man
"heaux phase is out, & celibacy is in hookup culture khadija mbowe",1,1,False,275066,275066,2024-07-15,2024-07-15,"The heaux phase is out, & Celibacy is in? The decline of hookup culture | Khadija Mbowe",Khadija Mbowe
california pizza kitchen what happened,1,1,False,271817,271817,2024-12-11,2024-12-11,The Decline of California Pizza Kitchen...What Happened?,Company Man
war of the spanish succession the spanish empire,1,1,False,270202,270202,2025-02-16,2025-02-16,War of the Spanish Succession: The Decline of the Spanish Empire,History Mapped Out
"pathology of america dehumanization, greed, and empire",1,1,False,263985,263985,2024-02-03,2024-02-03,"The Pathology of America: Dehumanization, Greed, and the Decline of Empire",Middle Nation
outback steakhouse what happened,1,1,False,263808,263808,2025-11-05,2025-11-05,The Decline of Outback Steakhouse...What Happened?,Company Man
usability,1,1,False,261190,261190,2025-06-25,2025-06-25,The Decline Of Usability,The PrimeTime
discovery zone what happened,1,1,False,261005,261005,2025-05-14,2025-05-14,The Decline of Discovery Zone...What Happened?,Company Man
paramount what happened,1,1,False,258199,258199,2025-03-12,2025-03-12,The Decline of Paramount...What Happened?,Company Man
del monte what happened,1,1,False,256748,256748,2025-07-16,2025-07-16,The Decline of Del Monte...What Happened?,Company Man
west bengal what went wrong,1,1,False,254934,254934,2024-11-20,2024-11-20,The Decline of West Bengal: What Went Wrong?,Adarsh Gupta
“everything” the x files reboot proves creative risk is dead in hollywood,1,1,False,249378,249378,2026-02-26,2026-02-26,THE DECLINE OF “EVERYTHING” – The X-Files Reboot Proves Creative Risk is DEAD in Hollywood,Nerdrotic Daily
david justice speaks on black players in mlb all facts no brakes,1,1,False,249152,249152,2024-05-27,2024-05-27,David Justice speaks on the decline of black players in MLB | All Facts No Brakes,All Facts No Brakes with Keyshawn Johnson
royale high how dress to impress is leading the way dti dresstoimpress royalehigh,1,1,False,237048,237048,2024-08-10,2024-08-10,The Decline of Royale High: How Dress to Impress Is Leading the Way #dti #dresstoimpress #royalehigh,Punkshroom
noodles & company what happened,1,1,False,235891,235891,2026-05-27,2026-05-27,The Decline of Noodles & Company...What Happened?,Company Man
आखिर कैसे हुआ मुगलों का राज खतम how did the mughals happen short,1,1,False,235067,235067,2023-08-27,2023-08-27,आखिर कैसे हुआ मुगलों का राज खतम? | How did the decline of the Mughals happen? #Short,Talks Of Facts
avon what happened,1,1,False,233157,233157,2026-01-14,2026-01-14,The Decline of Avon...What Happened?,Company Man
joey heatherton s reputation shorts,1,1,False,229592,229592,2024-04-29,2024-04-29,The Decline of Joey Heatherton's Reputation #shorts,Unwholesome Facts
"iran attacks & public schools with alvin liu july 8,",1,1,False,228377,228377,2026-07-09,2026-07-09,"Iran Attacks & the Decline of Public Schools with Alvin Liu | July 8, 2026",Bill O'Reilly
general motors what happened,1,1,False,228316,228316,2025-06-25,2025-06-25,The Decline of General Motors...What Happened?,Company Man
ihip news trump is in full swing,1,1,False,226075,226075,2025-04-02,2025-04-02,IHIP News: The DECLINE of TRUMP is in FULL-SWING,I've Had It
"ozzy osbourne in western civilization part 2, the metal years",1,1,False,226072,226072,2025-07-23,2025-07-23,"Ozzy Osbourne in THE DECLINE OF WESTERN CIVILIZATION: PART 2, THE METAL YEARS (1988)",CRITERION
aaron s character from aphmau mystreet,1,1,False,216587,216587,2022-12-16,2022-12-16,The Decline of Aaron's Character from Aphmau Mystreet,Write It Out
"western civilization, part ii the metal years full movie music documentary",1,1,False,209104,209104,2025-08-01,2025-08-01,"The Decline Of Western Civilization, Part II: The Metal Years | FULL MOVIE | Music Documentary",Shout! Studios
end of stars stars and rise of studios a case study tollywood thyview,1,1,False,207020,207020,2024-08-08,2024-08-08,End of Stars ?? | The Decline Of Stars And Rise Of Studios - A Case Study  | Tollywood | THYVIEW,Thyview
woke hollywood velma cringe friday night tights 232 drew harnandez clifton duncan,1,1,False,205891,205891,2023-01-14,2023-01-14,The Decline of Woke Hollywood | Velma CRINGE  Friday Night Tights #232 Drew Harnandez Clifton Duncan,Nerdrotic
“a woke holy war” elon musk on religion,1,1,False,205136,205136,2024-10-12,2024-10-12,“A Woke Holy War” - Elon Musk on the Decline of Religion,Tucker Carlson Network
from legends to struggles italian football,1,1,False,199675,199675,2024-06-30,2024-06-30,From Legends to Struggles: The Decline of Italian Football,Omar Momani
mughal empire bipan chandra modern history class 12th ncert chapter 1 upsc,1,1,False,196777,196777,2024-09-13,2024-09-13,The Decline Of Mughal Empire | Bipan Chandra Modern History | Class 12th NCERT - Chapter 1 | UPSC,PW OnlyIAS Prarambh
lords of ragnarok and crowdfunding,1,1,False,193398,193398,2023-09-18,2023-09-18,Lords of Ragnarok and the Decline of Crowdfunding,No Pun Included
weight watchers what happened,1,1,False,193163,193163,2025-06-04,2025-06-04,The Decline of Weight Watchers...What Happened?,Company Man
jordan peterson,1,1,False,191464,191464,2022-12-27,2022-12-27,The Decline of Jordan Peterson,Echo Chamberlain
fact checking in media a lost art,1,1,False,189891,189891,2024-10-17,2024-10-17,The Decline of Fact-Checking in Media: A Lost Art?,Valuetainment
"fashion industry, including pam anderson’s no effort era, w/ kinsey schofield",1,1,False,186407,186407,2025-10-29,2025-10-29,"The Decline of the Fashion Industry, Including Pam Anderson’s No-Effort Era, w/ Kinsey Schofield",The Nerve with Maureen Callahan
hells angels vs the immigrant gang brothas hells angels denmark,1,1,False,185503,185503,2023-09-07,2023-09-07,"Hells Angels vs. The Immigrant Gang ""Brothas"" - The Decline of Hells Angels Denmark",History with Magnus. What Really Happened?
giant in clash royale,1,1,False,185072,185072,2026-07-17,2026-07-17,The Decline of Giant in Clash Royale,Gratz
pvz 2’s art style & design,1,1,False,183496,183496,2025-12-03,2025-12-03,The Decline of PvZ 2’s Art Style & Design ,CreeperPlaysPVZ
ಕಾಂಗ್ರೆಸ್‌ನ ಸಮಸ್ಯೆಯೇ ರಾಹುಲ್‌ rahul gandhi and congress party masth magaa amar,1,1,False,183013,183013,2024-03-19,2024-03-19,ಕಾಂಗ್ರೆಸ್‌ನ ಸಮಸ್ಯೆಯೇ ರಾಹುಲ್‌! | Rahul Gandhi and The Decline of Congress Party | Masth Magaa | Amar,Masth Magaa
blimpie what happened,1,1,False,182486,182486,2024-08-14,2024-08-14,The Decline of Blimpie...What Happened?,Company Man
russia and china,1,1,False,180123,180123,2022-10-30,2022-10-30,The Decline of Russia and China,U.S. Naval Institute
dodge challenger…,1,1,False,180034,180034,2025-10-21,2025-10-21,The Decline Of The Dodge Challenger…,Graveyard Carz
bajeko pala nepali bravery & unity nepali song with a powerful message,1,1,False,179703,179703,2024-09-27,2024-09-27,Bajeko Pala: The Decline of Nepali Bravery & Unity | Nepali Song with a Powerful Message,LaiBari Studio 
marriage why men prefer anime girls,1,1,False,177984,177984,2024-12-19,2024-12-19,The Decline of Marriage | Why Men Prefer Anime Girls,Leaflit & Asari
from loved to hated jax in the amazing digital circus,1,1,False,175866,175866,2024-05-06,2024-05-06,From Loved to Hated: The Decline of Jax in The Amazing Digital Circus,Ayy Lmao
momfluencers,1,1,False,173799,173799,2024-01-22,2024-01-22,The decline of momfluencers,Ashley Embers
spirit airlines what happened,1,1,False,172961,172961,2026-05-08,2026-05-08,The Decline of Spirit Airlines...What Happened??,Company Man
dynasty american greed youtube exclusive,1,1,False,171207,171207,2022-12-02,2022-12-02,The Decline Of A Dynasty | American Greed Youtube Exclusive,CNBC Ambition
elio and pixar quick review,1,1,False,171116,171116,2025-07-02,2025-07-02,Elio and the Decline of Pixar (Quick Review),Possum Reviews
philips what happened,1,1,False,170676,170676,2026-04-08,2026-04-08,The Decline of Philips...What Happened?,Company Man
nba s most elite role players,1,1,False,167967,167967,2026-03-13,2026-03-13,The DECLINE of the NBA's most elite role players,Andy Hoops
iron banner,1,1,False,164569,164569,2023-01-08,2023-01-08,The Decline of Iron Banner (2014-2023),NovemberHotel
microsoft windows,1,1,False,163465,163465,2025-06-13,2025-06-13,The Decline of Microsoft Windows,Chris Titus Tech
ever after high dolls,1,1,False,163160,163160,2023-04-18,2023-04-18,The DECLINE of Ever After High Dolls,Negative Legend
jaguar what happened,1,1,False,161680,161680,2025-10-08,2025-10-08,The Decline of Jaguar...What Happened?,Company Man
andrew schulz and saagar explain us patriotism,1,1,False,155866,155866,2023-03-29,2023-03-29,Andrew Schulz And Saagar Explain The Decline Of US Patriotism,Breaking Points
torrents what happened,1,1,False,154252,154252,2024-09-20,2024-09-20,The Decline Of Torrents...What Happened?,Logically Answered
kylie jenner,1,1,False,152740,152740,2024-08-17,2024-08-17,The Decline of Kylie Jenner,honest
indians ep 5 nalanda and buddhism a brief history of a civilization,1,1,False,151047,151047,2024-02-03,2024-02-03,Indians | Ep 5: Nalanda and the Decline of Buddhism | A Brief History of a Civilization,The Wire
global capitalism the us empire july,1,1,False,148164,148164,2024-07-10,2024-07-10,Global Capitalism: The Decline of the US Empire [July 2024],Democracy At Work
from loved to hated ragatha in the amazing digital circus,1,1,False,147899,147899,2025-06-24,2025-06-24,From Loved to Hated: The Decline of Ragatha in The Amazing Digital Circus,Ayy Lmao
europe a savage civilization’s slow collapse shahid bolsen,1,1,False,143885,143885,2025-04-24,2025-04-24,The Decline of Europe: A Savage Civilization’s Slow Collapse | Shahid Bolsen,Middle Nation
english managers past & present managers reveal the reality of football management,1,1,False,141807,141807,2025-03-20,2025-03-20,The decline of English managers | Past & present managers reveal the reality of football management,Sky Sports Football
college crisis heads of dartmouth & berkeley debate us universities,1,1,False,140638,140638,2025-09-16,2025-09-16,The College Crisis: Heads of Dartmouth & Berkeley Debate the Decline of US Universities,All-In Podcast
non binary,1,1,False,140025,140025,2025-10-18,2025-10-18,THE DECLINE OF NON BINARY,JD Delay
what caused star fox,1,1,False,138305,138305,2025-03-15,2025-03-15,What Caused the Decline of Star Fox?,TheMentok
tumblr what happened,1,1,False,137127,137127,2025-09-17,2025-09-17,The Decline of Tumblr...What Happened?,Company Man
f1 gaming,1,1,False,136373,136373,2024-09-27,2024-09-27,The DECLINE of F1 Gaming,deputyskog
family dollar what happened,1,1,False,135582,135582,2025-12-10,2025-12-10,The Decline of Family Dollar...What Happened?,Company Man
strong men @thefocalpointmedia,1,1,False,135210,135210,2023-12-01,2023-12-01,The Decline of Strong Men | @TheFocalPointMedia,Mike G.
claire s what happened,1,1,False,134270,134270,2025-08-27,2025-08-27,The Decline of Claire's...What Happened?,Company Man
black men in construction jobs phillipscottpodcast,1,1,False,133271,133271,2024-03-30,2024-03-30,The Decline Of Black Men In Construction Jobs #phillipscottpodcast,Phillip Scott Podcast
destiny factions & why bungie removed them,1,1,False,132519,132519,2024-02-25,2024-02-25,The Decline of Destiny Factions & Why Bungie Removed Them,Unknown Player
tilly middlehurst this house welcomes america,1,1,False,131898,131898,2024-11-10,2024-11-10,Tilly Middlehurst | This House Welcomes The Decline of America,Cambridge Union
did a face reveal lead to spain,1,1,False,129418,129418,2022-10-13,2022-10-13,Did a Face Reveal Lead to the Decline of Spain?,DocuDubery
quality grind in modern games,1,1,False,128893,128893,2022-12-30,2022-12-30,The Decline of Quality Grind in Modern Games,trophytroll
mrs fields what happened,1,1,False,127978,127978,2025-12-24,2025-12-24,The Decline of Mrs. Fields...What Happened?,Company Man
richard wolff the us empire is shown by the record high national & corporate debt,1,1,False,126194,126194,2024-11-18,2024-11-18,Richard Wolff: The Decline of the US Empire is shown by the Record High National & Corporate Debt,Community Church of Boston
velma western civilization,1,1,False,125667,125667,2023-01-15,2023-01-15,Velma: the decline of western civilization,Echo Chamberlain
christianity in america,1,1,False,124893,124893,2024-05-04,2024-05-04,The Decline Of Christianity In America,Breaking Points
japan what is killing their economy documentary,1,1,False,123188,123188,2023-10-31,2023-10-31,The Decline of Japan: What Is Killing Their Economy (Documentary),TimeTravel Tales
august alsina & how exposing the smith family ruined his career,1,1,False,122808,122808,2023-12-23,2023-12-23,The decline of August Alsina & how exposing the Smith family ruined his career,Clarissa.C 
esports is over,1,1,False,118706,118706,2024-03-01,2024-03-01,The Decline of Esports is Over,Going Indie
pop star academy katseye & global girl groups,1,1,False,117336,117336,2024-09-15,2024-09-15,Pop Star Academy: Katseye & The Decline of Global Girl Groups,lookingforlewys
cod zombies started here,1,1,False,117071,117071,2023-10-21,2023-10-21,The Decline of COD Zombies Started HERE!,Rushin
britain explained dan wang unfiltered,1,1,False,111484,111484,2025-12-05,2025-12-05,The DECLINE of Britain Explained | Dan Wang Unfiltered,The News Agents
untold stories of pakistan cricket why pakistan cricket is struggling,1,1,False,111426,111426,2024-06-14,2024-06-14,Untold Stories of The Decline of Pakistan Cricket: Why Pakistan Cricket is Struggling?,Raftar Sports
"evolution theory in islam tracing our origins to adam, not apes",1,1,False,108802,108802,2023-07-04,2023-07-04,"The Decline of Evolution Theory in Islam | Tracing Our Origins to Adam, Not Apes",The House Of Shariah
northampton the uk continues…,1,1,False,108584,108584,2025-12-04,2025-12-04,NORTHAMPTON - THE DECLINE OF THE UK CONTINUES… ,DJE MEDIA
debate can trump save american empire richard wolff,1,1,False,100653,100653,2025-02-08,2025-02-08,Debate: Can Trump Save the decline of American Empire? | Richard Wolff,India & Global Left
nietzsche s warning humanity,1,1,False,99310,99310,2024-04-20,2024-04-20,Nietzsche's Warning: The Decline of Humanity,The Machiavellians
leonardo dicaprio & the ’90s heartthrob,1,1,False,98909,98909,2023-03-05,2023-03-05,Leonardo DiCaprio & The Decline of The ’90s Heartthrob,The Take
atrioc reacts to 23andme,1,1,False,98825,98825,2025-12-10,2025-12-10,Atrioc Reacts to The Decline of 23andMe,Coffee Cow
james rodriguez 🤯⚽️,1,1,False,97811,97811,2024-01-28,2024-01-28,The Decline Of James Rodriguez 🤯⚽️,FC Motivate
morality amidst the celebration of the self with chris hedges,1,1,False,96217,96217,2023-04-09,2023-04-09,The Decline of Morality Amidst the Celebration of the Self with Chris Hedges,Renovatio: The Journal of Zaytuna College
